Ontology	Metric	Value
"http://www.ebi.ac.uk/medo/"	"NumberOfLexicalRegularitiesMetric"	5
"http://www.ebi.ac.uk/medo/"	"NumberOfLexicalRegularityClassesMetric"	0
"http://www.ebi.ac.uk/medo/"	"LexicalRegularitiesPerClassMetric"	0.06
"http://www.ebi.ac.uk/medo/"	"LexicalRegularityClassPercentageMetric"	0
"http://www.ebi.ac.uk/medo/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://www.ebi.ac.uk/medo/"	"SystematicNamingMetric"	NaN
"http://www.ebi.ac.uk/medo/"	"NumberOfClassesMetric"	83
"http://www.ebi.ac.uk/medo/"	"NamesPerClassMetric"	1
"http://www.ebi.ac.uk/medo/"	"NamesPerPropertyMetric"	0.75
"http://www.ebi.ac.uk/medo/"	"DescriptionsPerAnnotationPropertyMetric"	0.625
"http://www.ebi.ac.uk/medo/"	"NamesPerDataPropertyMetric"	NaN
"http://www.ebi.ac.uk/medo/"	"NamesPerObjectPropertyMetric"	1
"http://www.ebi.ac.uk/medo/"	"SynonymsPerClassMetric"	0
"http://www.ebi.ac.uk/medo/"	"SynonymsPerPropertyMetric"	0
"http://www.ebi.ac.uk/medo/"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.ebi.ac.uk/medo/"	"SynonymsPerDataPropertyMetric"	NaN
"http://www.ebi.ac.uk/medo/"	"SynonymsPerObjectPropertyMetric"	0
"http://www.ebi.ac.uk/medo/"	"DescriptionsPerClassMetric"	0.108
"http://www.ebi.ac.uk/medo/"	"DescriptionsPerPropertyMetric"	0
"http://www.ebi.ac.uk/medo/"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.ebi.ac.uk/medo/"	"DescriptionsPerDataPropertyMetric"	NaN
"http://www.ebi.ac.uk/medo/"	"DescriptionsPerObjectPropertyMetric"	0
"http://www.ebi.ac.uk/medo/"	"ClassesWithNoNameMetric"	0
"http://www.ebi.ac.uk/medo/"	"ClassesWithNoDescriptionMetric"	0.892
"http://www.ebi.ac.uk/medo/"	"ClassesWithNoSynonymMetric"	1
"http://www.ebi.ac.uk/medo/"	"ObjectPropertiesWithNoNameMetric"	0
"http://www.ebi.ac.uk/medo/"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://www.ebi.ac.uk/medo/"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.ebi.ac.uk/medo/"	"DataPropertiesWithNoNameMetric"	NaN
"http://www.ebi.ac.uk/medo/"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://www.ebi.ac.uk/medo/"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://www.ebi.ac.uk/medo/"	"AnnotationPropertiesWithNoNameMetric"	0.375
"http://www.ebi.ac.uk/medo/"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://www.ebi.ac.uk/medo/"	"AnnotationPropertiesWithNoSynonymMetric"	1
