Ontology	Metric	Value
"http://purl.bioontology.org/ontology/MESH/"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.bioontology.org/ontology/MESH/"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.bioontology.org/ontology/MESH/"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.bioontology.org/ontology/MESH/"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.bioontology.org/ontology/MESH/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.bioontology.org/ontology/MESH/"	"SystematicNamingMetric"	NaN
"http://purl.bioontology.org/ontology/MESH/"	"NumberOfClassesMetric"	353826
"http://purl.bioontology.org/ontology/MESH/"	"NamesPerClassMetric"	1
"http://purl.bioontology.org/ontology/MESH/"	"NamesPerPropertyMetric"	0.891
"http://purl.bioontology.org/ontology/MESH/"	"DescriptionsPerAnnotationPropertyMetric"	0.375
"http://purl.bioontology.org/ontology/MESH/"	"NamesPerDataPropertyMetric"	1
"http://purl.bioontology.org/ontology/MESH/"	"NamesPerObjectPropertyMetric"	1
"http://purl.bioontology.org/ontology/MESH/"	"SynonymsPerClassMetric"	1.85
"http://purl.bioontology.org/ontology/MESH/"	"SynonymsPerPropertyMetric"	0
"http://purl.bioontology.org/ontology/MESH/"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.bioontology.org/ontology/MESH/"	"SynonymsPerDataPropertyMetric"	0
"http://purl.bioontology.org/ontology/MESH/"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.bioontology.org/ontology/MESH/"	"DescriptionsPerClassMetric"	0.093
"http://purl.bioontology.org/ontology/MESH/"	"DescriptionsPerPropertyMetric"	1
"http://purl.bioontology.org/ontology/MESH/"	"DescriptionsPerAnnotationPropertyMetric"	1
"http://purl.bioontology.org/ontology/MESH/"	"DescriptionsPerDataPropertyMetric"	1
"http://purl.bioontology.org/ontology/MESH/"	"DescriptionsPerObjectPropertyMetric"	1
"http://purl.bioontology.org/ontology/MESH/"	"ClassesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/MESH/"	"ClassesWithNoDescriptionMetric"	0.913
"http://purl.bioontology.org/ontology/MESH/"	"ClassesWithNoSynonymMetric"	0.381
"http://purl.bioontology.org/ontology/MESH/"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/MESH/"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://purl.bioontology.org/ontology/MESH/"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.bioontology.org/ontology/MESH/"	"DataPropertiesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/MESH/"	"DataPropertiesWithNoDescriptionMetric"	0
"http://purl.bioontology.org/ontology/MESH/"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.bioontology.org/ontology/MESH/"	"AnnotationPropertiesWithNoNameMetric"	0.625
"http://purl.bioontology.org/ontology/MESH/"	"AnnotationPropertiesWithNoDescriptionMetric"	0.625
"http://purl.bioontology.org/ontology/MESH/"	"AnnotationPropertiesWithNoSynonymMetric"	1
