Ontology	Metric	Value
"http://purl.obolibrary.org/obo/miapa.owl"	"NumberOfLexicalRegularitiesMetric"	1
"http://purl.obolibrary.org/obo/miapa.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/miapa.owl"	"LexicalRegularitiesPerClassMetric"	0.019
"http://purl.obolibrary.org/obo/miapa.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/miapa.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/miapa.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/miapa.owl"	"NumberOfClassesMetric"	54
"http://purl.obolibrary.org/obo/miapa.owl"	"NamesPerClassMetric"	0.963
"http://purl.obolibrary.org/obo/miapa.owl"	"NamesPerPropertyMetric"	0.697
"http://purl.obolibrary.org/obo/miapa.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.455
"http://purl.obolibrary.org/obo/miapa.owl"	"NamesPerDataPropertyMetric"	1
"http://purl.obolibrary.org/obo/miapa.owl"	"NamesPerObjectPropertyMetric"	0.75
"http://purl.obolibrary.org/obo/miapa.owl"	"SynonymsPerClassMetric"	0
"http://purl.obolibrary.org/obo/miapa.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/miapa.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/miapa.owl"	"SynonymsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/miapa.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/miapa.owl"	"DescriptionsPerClassMetric"	0.296
"http://purl.obolibrary.org/obo/miapa.owl"	"DescriptionsPerPropertyMetric"	0.788
"http://purl.obolibrary.org/obo/miapa.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.636
"http://purl.obolibrary.org/obo/miapa.owl"	"DescriptionsPerDataPropertyMetric"	0.667
"http://purl.obolibrary.org/obo/miapa.owl"	"DescriptionsPerObjectPropertyMetric"	0.938
"http://purl.obolibrary.org/obo/miapa.owl"	"ClassesWithNoNameMetric"	0.037
"http://purl.obolibrary.org/obo/miapa.owl"	"ClassesWithNoDescriptionMetric"	0.759
"http://purl.obolibrary.org/obo/miapa.owl"	"ClassesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/miapa.owl"	"ObjectPropertiesWithNoNameMetric"	0.25
"http://purl.obolibrary.org/obo/miapa.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.312
"http://purl.obolibrary.org/obo/miapa.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/miapa.owl"	"DataPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/miapa.owl"	"DataPropertiesWithNoDescriptionMetric"	0.333
"http://purl.obolibrary.org/obo/miapa.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/miapa.owl"	"AnnotationPropertiesWithNoNameMetric"	0.545
"http://purl.obolibrary.org/obo/miapa.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.364
"http://purl.obolibrary.org/obo/miapa.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
