Ontology	Metric	Value
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"SystematicNamingMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"NumberOfClassesMetric"	16
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"NamesPerClassMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"NamesPerPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"NamesPerDataPropertyMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"NamesPerObjectPropertyMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"SynonymsPerClassMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"SynonymsPerPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"SynonymsPerObjectPropertyMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"DescriptionsPerClassMetric"	0.375
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"DescriptionsPerPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"ClassesWithNoNameMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"ClassesWithNoDescriptionMetric"	0.625
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"ClassesWithNoSynonymMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matrMineral.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
