Ontology	Metric	Value
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"SystematicNamingMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"NumberOfClassesMetric"	27
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"NamesPerClassMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"NamesPerPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"NamesPerDataPropertyMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"NamesPerObjectPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"SynonymsPerClassMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"SynonymsPerPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"DescriptionsPerClassMetric"	0.111
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"DescriptionsPerPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"ClassesWithNoNameMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"ClassesWithNoDescriptionMetric"	0.889
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"ClassesWithNoSynonymMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"ObjectPropertiesWithNoNameMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
