Ontology	Metric	Value
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"NumberOfLexicalRegularitiesMetric"	2
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"NumberOfClassesMetric"	30186
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"NamesPerClassMetric"	0.817
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"NamesPerPropertyMetric"	0.462
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.32
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"NamesPerObjectPropertyMetric"	0.857
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"SynonymsPerClassMetric"	3.617
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"DescriptionsPerClassMetric"	0.588
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"DescriptionsPerPropertyMetric"	0.288
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.381
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"DescriptionsPerObjectPropertyMetric"	0.029
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"ClassesWithNoNameMetric"	0.197
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"ClassesWithNoDescriptionMetric"	0.433
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"ClassesWithNoSynonymMetric"	0.35
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"ObjectPropertiesWithNoNameMetric"	0.143
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.971
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"AnnotationPropertiesWithNoNameMetric"	0.68
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.619
"http://purl.obolibrary.org/obo/mondo/releases/2024-05-08/mondo.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
