Ontology	Metric	Value
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"NumberOfClassesMetric"	3639
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"NamesPerPropertyMetric"	0.625
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.483
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"SynonymsPerClassMetric"	0.199
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"DescriptionsPerClassMetric"	1.901
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"DescriptionsPerPropertyMetric"	0.05
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"DescriptionsPerObjectPropertyMetric"	0.182
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"ClassesWithNoDescriptionMetric"	0.014
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"ClassesWithNoSynonymMetric"	0.824
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.818
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"AnnotationPropertiesWithNoNameMetric"	0.517
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
