Ontology	Metric	Value
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"NumberOfLexicalRegularitiesMetric"	1
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"NumberOfLexicalRegularityClassesMetric"	0
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"LexicalRegularitiesPerClassMetric"	0.004
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"LexicalRegularityClassPercentageMetric"	0
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"LexicallySuggestLogicallyDefineMetric"	NaN
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"SystematicNamingMetric"	NaN
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"NumberOfClassesMetric"	242
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"NamesPerClassMetric"	0.938
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"NamesPerPropertyMetric"	0.65
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"NamesPerDataPropertyMetric"	1.333
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"NamesPerObjectPropertyMetric"	0.886
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"SynonymsPerClassMetric"	0.017
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"SynonymsPerPropertyMetric"	0
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"SynonymsPerAnnotationPropertyMetric"	0
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"SynonymsPerDataPropertyMetric"	0
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"SynonymsPerObjectPropertyMetric"	0
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"DescriptionsPerClassMetric"	0.087
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"DescriptionsPerPropertyMetric"	0.65
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"DescriptionsPerDataPropertyMetric"	1.667
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"DescriptionsPerObjectPropertyMetric"	0.829
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"ClassesWithNoNameMetric"	0.071
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"ClassesWithNoDescriptionMetric"	0.946
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"ClassesWithNoSynonymMetric"	0.992
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"ObjectPropertiesWithNoNameMetric"	0.229
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"ObjectPropertiesWithNoDescriptionMetric"	0.571
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"ObjectPropertiesWithNoSynonymMetric"	1
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"DataPropertiesWithNoNameMetric"	0
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"DataPropertiesWithNoDescriptionMetric"	0.333
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"DataPropertiesWithNoSynonymMetric"	1
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"AnnotationPropertiesWithNoNameMetric"	1
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"https://purl.dataone.org/odo/MOSAIC/1.0.1"	"AnnotationPropertiesWithNoSynonymMetric"	1
