Ontology	Metric	Value
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"NumberOfClassesMetric"	841
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"NamesPerPropertyMetric"	0.5
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.45
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"SynonymsPerClassMetric"	0.398
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"DescriptionsPerClassMetric"	1.004
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"DescriptionsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"ClassesWithNoDescriptionMetric"	0.096
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"ClassesWithNoSynonymMetric"	0.776
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"AnnotationPropertiesWithNoNameMetric"	0.55
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
