Ontology	Metric	Value
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"SystematicNamingMetric"	NaN
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"NumberOfClassesMetric"	1827
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"NamesPerClassMetric"	1
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"NamesPerPropertyMetric"	0.444
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"DescriptionsPerAnnotationPropertyMetric"	0.286
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"NamesPerDataPropertyMetric"	1
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"NamesPerObjectPropertyMetric"	1
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"SynonymsPerClassMetric"	0.073
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"SynonymsPerPropertyMetric"	0
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"SynonymsPerDataPropertyMetric"	0
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"DescriptionsPerClassMetric"	0
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"DescriptionsPerPropertyMetric"	1
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"DescriptionsPerAnnotationPropertyMetric"	1
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"DescriptionsPerDataPropertyMetric"	1
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"DescriptionsPerObjectPropertyMetric"	1
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"ClassesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"ClassesWithNoDescriptionMetric"	1
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"ClassesWithNoSynonymMetric"	0.927
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"DataPropertiesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"DataPropertiesWithNoDescriptionMetric"	0
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"AnnotationPropertiesWithNoNameMetric"	0.714
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"AnnotationPropertiesWithNoDescriptionMetric"	0.714
"http://purl.bioontology.org/ontology/MSTDE-FRE/"	"AnnotationPropertiesWithNoSynonymMetric"	1
