Ontology	Metric	Value
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"SystematicNamingMetric"	NaN
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"NumberOfClassesMetric"	1829
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"NamesPerClassMetric"	0.999
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"NamesPerPropertyMetric"	0.821
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"NamesPerDataPropertyMetric"	1
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"NamesPerObjectPropertyMetric"	0.979
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"SynonymsPerClassMetric"	0
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"SynonymsPerDataPropertyMetric"	0
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"DescriptionsPerClassMetric"	0.043
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"DescriptionsPerPropertyMetric"	0
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"DescriptionsPerDataPropertyMetric"	0
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"ClassesWithNoNameMetric"	0.001
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"ClassesWithNoDescriptionMetric"	0.975
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"ClassesWithNoSynonymMetric"	1
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"ObjectPropertiesWithNoNameMetric"	0.021
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"DataPropertiesWithNoNameMetric"	0
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"DataPropertiesWithNoDescriptionMetric"	1
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.bioontology.org/NEMO/ontology/NEMO.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
