Ontology	Metric	Value
"http://purl.obolibrary.org/obo/ngsonto.owl"	"NumberOfLexicalRegularitiesMetric"	4
"http://purl.obolibrary.org/obo/ngsonto.owl"	"NumberOfLexicalRegularityClassesMetric"	1
"http://purl.obolibrary.org/obo/ngsonto.owl"	"LexicalRegularitiesPerClassMetric"	0.068
"http://purl.obolibrary.org/obo/ngsonto.owl"	"LexicalRegularityClassPercentageMetric"	0.017
"http://purl.obolibrary.org/obo/ngsonto.owl"	"LexicallySuggestLogicallyDefineMetric"	1
"http://purl.obolibrary.org/obo/ngsonto.owl"	"SystematicNamingMetric"	1
"http://purl.obolibrary.org/obo/ngsonto.owl"	"NumberOfClassesMetric"	59
"http://purl.obolibrary.org/obo/ngsonto.owl"	"NamesPerClassMetric"	0.915
"http://purl.obolibrary.org/obo/ngsonto.owl"	"NamesPerPropertyMetric"	0.788
"http://purl.obolibrary.org/obo/ngsonto.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.455
"http://purl.obolibrary.org/obo/ngsonto.owl"	"NamesPerDataPropertyMetric"	1
"http://purl.obolibrary.org/obo/ngsonto.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/ngsonto.owl"	"SynonymsPerClassMetric"	0.153
"http://purl.obolibrary.org/obo/ngsonto.owl"	"SynonymsPerPropertyMetric"	0.035
"http://purl.obolibrary.org/obo/ngsonto.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/ngsonto.owl"	"SynonymsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/ngsonto.owl"	"SynonymsPerObjectPropertyMetric"	0.176
"http://purl.obolibrary.org/obo/ngsonto.owl"	"DescriptionsPerClassMetric"	0.644
"http://purl.obolibrary.org/obo/ngsonto.owl"	"DescriptionsPerPropertyMetric"	0.165
"http://purl.obolibrary.org/obo/ngsonto.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.333
"http://purl.obolibrary.org/obo/ngsonto.owl"	"DescriptionsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/ngsonto.owl"	"DescriptionsPerObjectPropertyMetric"	0.176
"http://purl.obolibrary.org/obo/ngsonto.owl"	"ClassesWithNoNameMetric"	0.102
"http://purl.obolibrary.org/obo/ngsonto.owl"	"ClassesWithNoDescriptionMetric"	0.424
"http://purl.obolibrary.org/obo/ngsonto.owl"	"ClassesWithNoSynonymMetric"	0.864
"http://purl.obolibrary.org/obo/ngsonto.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/ngsonto.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.824
"http://purl.obolibrary.org/obo/ngsonto.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.824
"http://purl.obolibrary.org/obo/ngsonto.owl"	"DataPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/ngsonto.owl"	"DataPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/ngsonto.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/ngsonto.owl"	"AnnotationPropertiesWithNoNameMetric"	0.667
"http://purl.obolibrary.org/obo/ngsonto.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.697
"http://purl.obolibrary.org/obo/ngsonto.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
