Ontology	Metric	Value
"http://www.w3.org/ns/oa#"	"NumberOfLexicalRegularitiesMetric"	0
"http://www.w3.org/ns/oa#"	"NumberOfLexicalRegularityClassesMetric"	0
"http://www.w3.org/ns/oa#"	"LexicalRegularitiesPerClassMetric"	0
"http://www.w3.org/ns/oa#"	"LexicalRegularityClassPercentageMetric"	0
"http://www.w3.org/ns/oa#"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://www.w3.org/ns/oa#"	"SystematicNamingMetric"	NaN
"http://www.w3.org/ns/oa#"	"NumberOfClassesMetric"	25
"http://www.w3.org/ns/oa#"	"NamesPerClassMetric"	0.84
"http://www.w3.org/ns/oa#"	"NamesPerPropertyMetric"	0.714
"http://www.w3.org/ns/oa#"	"DescriptionsPerAnnotationPropertyMetric"	0.375
"http://www.w3.org/ns/oa#"	"NamesPerDataPropertyMetric"	1
"http://www.w3.org/ns/oa#"	"NamesPerObjectPropertyMetric"	1
"http://www.w3.org/ns/oa#"	"SynonymsPerClassMetric"	0
"http://www.w3.org/ns/oa#"	"SynonymsPerPropertyMetric"	0
"http://www.w3.org/ns/oa#"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.w3.org/ns/oa#"	"SynonymsPerDataPropertyMetric"	0
"http://www.w3.org/ns/oa#"	"SynonymsPerObjectPropertyMetric"	0
"http://www.w3.org/ns/oa#"	"DescriptionsPerClassMetric"	0.84
"http://www.w3.org/ns/oa#"	"DescriptionsPerPropertyMetric"	0.714
"http://www.w3.org/ns/oa#"	"DescriptionsPerAnnotationPropertyMetric"	0.375
"http://www.w3.org/ns/oa#"	"DescriptionsPerDataPropertyMetric"	1
"http://www.w3.org/ns/oa#"	"DescriptionsPerObjectPropertyMetric"	1
"http://www.w3.org/ns/oa#"	"ClassesWithNoNameMetric"	0.16
"http://www.w3.org/ns/oa#"	"ClassesWithNoDescriptionMetric"	0.16
"http://www.w3.org/ns/oa#"	"ClassesWithNoSynonymMetric"	1
"http://www.w3.org/ns/oa#"	"ObjectPropertiesWithNoNameMetric"	0
"http://www.w3.org/ns/oa#"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://www.w3.org/ns/oa#"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.w3.org/ns/oa#"	"DataPropertiesWithNoNameMetric"	0
"http://www.w3.org/ns/oa#"	"DataPropertiesWithNoDescriptionMetric"	0
"http://www.w3.org/ns/oa#"	"DataPropertiesWithNoSynonymMetric"	1
"http://www.w3.org/ns/oa#"	"AnnotationPropertiesWithNoNameMetric"	0.625
"http://www.w3.org/ns/oa#"	"AnnotationPropertiesWithNoDescriptionMetric"	0.625
"http://www.w3.org/ns/oa#"	"AnnotationPropertiesWithNoSynonymMetric"	1
