Ontology	Metric	Value
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"NumberOfLexicalRegularitiesMetric"	2
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"NumberOfLexicalRegularityClassesMetric"	1
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"LexicallySuggestLogicallyDefineMetric"	0.998
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"SystematicNamingMetric"	0.346
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"NumberOfClassesMetric"	63290
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"NamesPerPropertyMetric"	0.873
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.229
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"NamesPerObjectPropertyMetric"	1.066
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"SynonymsPerClassMetric"	0.217
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"SynonymsPerPropertyMetric"	0.187
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"SynonymsPerObjectPropertyMetric"	0.243
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"DescriptionsPerClassMetric"	0.577
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"DescriptionsPerPropertyMetric"	0.609
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.11
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"DescriptionsPerObjectPropertyMetric"	0.76
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"ClassesWithNoNameMetric"	0.001
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"ClassesWithNoDescriptionMetric"	0.425
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"ClassesWithNoSynonymMetric"	0.789
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"ObjectPropertiesWithNoNameMetric"	0.165
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.324
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.827
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"AnnotationPropertiesWithNoNameMetric"	0.817
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.908
"http://purl.obolibrary.org/obo/oba/releases/2024-03-27/oba.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
