Ontology	Metric	Value
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"NumberOfLexicalRegularitiesMetric"	3
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"NumberOfLexicalRegularityClassesMetric"	1
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"LexicalRegularitiesPerClassMetric"	0.001
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"LexicallySuggestLogicallyDefineMetric"	0.995
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"SystematicNamingMetric"	0.895
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"NumberOfClassesMetric"	4954
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"NamesPerClassMetric"	1.001
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"NamesPerPropertyMetric"	1.038
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"DescriptionsPerAnnotationPropertyMetric"	1.097
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"NamesPerDataPropertyMetric"	1
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"NamesPerObjectPropertyMetric"	0.987
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"SynonymsPerClassMetric"	0.372
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"SynonymsPerPropertyMetric"	0.269
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"SynonymsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"SynonymsPerObjectPropertyMetric"	0.553
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"DescriptionsPerClassMetric"	0.977
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"DescriptionsPerPropertyMetric"	0.955
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.986
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"DescriptionsPerDataPropertyMetric"	0.5
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"DescriptionsPerObjectPropertyMetric"	0.974
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"ClassesWithNoDescriptionMetric"	0.032
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"ClassesWithNoSynonymMetric"	0.703
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"ObjectPropertiesWithNoNameMetric"	0.01
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.113
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.691
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"DataPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"DataPropertiesWithNoDescriptionMetric"	0.5
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"AnnotationPropertiesWithNoNameMetric"	0.194
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.306
"http://purl.obolibrary.org/obo/obi/2024-01-09/obi.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
