Ontology	Metric	Value
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"LexicalRegularitiesPerClassMetric"	NaN
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"LexicalRegularityClassPercentageMetric"	NaN
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"SystematicNamingMetric"	NaN
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"NumberOfClassesMetric"	0
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"NamesPerClassMetric"	NaN
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"NamesPerPropertyMetric"	0
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"NamesPerDataPropertyMetric"	NaN
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"NamesPerObjectPropertyMetric"	NaN
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"SynonymsPerClassMetric"	NaN
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"SynonymsPerPropertyMetric"	0
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"SynonymsPerObjectPropertyMetric"	NaN
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"DescriptionsPerClassMetric"	NaN
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"DescriptionsPerPropertyMetric"	0
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"ClassesWithNoNameMetric"	NaN
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"ClassesWithNoDescriptionMetric"	NaN
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"ClassesWithNoSynonymMetric"	NaN
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
