Ontology	Metric	Value
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"NumberOfLexicalRegularitiesMetric"	3
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"LexicalRegularitiesPerClassMetric"	0.002
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"NumberOfClassesMetric"	1769
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"NamesPerPropertyMetric"	0.637
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.625
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"NamesPerDataPropertyMetric"	1
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"SynonymsPerClassMetric"	0.918
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"SynonymsPerPropertyMetric"	0.011
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"SynonymsPerAnnotationPropertyMetric"	0.011
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"SynonymsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"DescriptionsPerClassMetric"	0.652
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"DescriptionsPerPropertyMetric"	0.593
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.602
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"DescriptionsPerDataPropertyMetric"	1
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"ClassesWithNoDescriptionMetric"	0.348
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"ClassesWithNoSynonymMetric"	0.085
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"DataPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"DataPropertiesWithNoDescriptionMetric"	0
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"AnnotationPropertiesWithNoNameMetric"	0.386
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.466
"http://purl.obolibrary.org/obo/opl/2023-08-20/occo-merged.owl"	"AnnotationPropertiesWithNoSynonymMetric"	0.989
