Ontology	Metric	Value
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"NumberOfLexicalRegularitiesMetric"	20
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"NumberOfLexicalRegularityClassesMetric"	2
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"LexicalRegularitiesPerClassMetric"	0.02
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"LexicalRegularityClassPercentageMetric"	0.002
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"LexicallySuggestLogicallyDefineMetric"	1
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"SystematicNamingMetric"	0.765
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"NumberOfClassesMetric"	1025
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"NamesPerClassMetric"	1.008
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"NamesPerPropertyMetric"	1.072
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"DescriptionsPerAnnotationPropertyMetric"	1.038
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"NamesPerDataPropertyMetric"	1
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"NamesPerObjectPropertyMetric"	1.095
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"SynonymsPerClassMetric"	0.382
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"SynonymsPerPropertyMetric"	0.237
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"SynonymsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"SynonymsPerObjectPropertyMetric"	0.389
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"DescriptionsPerClassMetric"	0.891
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"DescriptionsPerPropertyMetric"	0.792
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.641
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"DescriptionsPerDataPropertyMetric"	0.667
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"DescriptionsPerObjectPropertyMetric"	0.889
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"ClassesWithNoDescriptionMetric"	0.354
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"ClassesWithNoSynonymMetric"	0.846
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.133
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.719
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"DataPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"DataPropertiesWithNoDescriptionMetric"	0.333
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"AnnotationPropertiesWithNoNameMetric"	0.218
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.513
"http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
