Ontology	Metric	Value
"http://purl.obolibrary.org/obo/olatdv.owl"	"NumberOfLexicalRegularitiesMetric"	3
"http://purl.obolibrary.org/obo/olatdv.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/olatdv.owl"	"LexicalRegularitiesPerClassMetric"	0.064
"http://purl.obolibrary.org/obo/olatdv.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/olatdv.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/olatdv.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/olatdv.owl"	"NumberOfClassesMetric"	47
"http://purl.obolibrary.org/obo/olatdv.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/olatdv.owl"	"NamesPerPropertyMetric"	0.667
"http://purl.obolibrary.org/obo/olatdv.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.583
"http://purl.obolibrary.org/obo/olatdv.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/olatdv.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/olatdv.owl"	"SynonymsPerClassMetric"	0.979
"http://purl.obolibrary.org/obo/olatdv.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/olatdv.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/olatdv.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/olatdv.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/olatdv.owl"	"DescriptionsPerClassMetric"	1.277
"http://purl.obolibrary.org/obo/olatdv.owl"	"DescriptionsPerPropertyMetric"	0.2
"http://purl.obolibrary.org/obo/olatdv.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.083
"http://purl.obolibrary.org/obo/olatdv.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/olatdv.owl"	"DescriptionsPerObjectPropertyMetric"	0.667
"http://purl.obolibrary.org/obo/olatdv.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/olatdv.owl"	"ClassesWithNoDescriptionMetric"	0.021
"http://purl.obolibrary.org/obo/olatdv.owl"	"ClassesWithNoSynonymMetric"	0.021
"http://purl.obolibrary.org/obo/olatdv.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/olatdv.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.333
"http://purl.obolibrary.org/obo/olatdv.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/olatdv.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/olatdv.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/olatdv.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/olatdv.owl"	"AnnotationPropertiesWithNoNameMetric"	0.417
"http://purl.obolibrary.org/obo/olatdv.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.917
"http://purl.obolibrary.org/obo/olatdv.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
