Ontology	Metric	Value
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"NumberOfLexicalRegularitiesMetric"	2
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"NumberOfLexicalRegularityClassesMetric"	2
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"LexicalRegularitiesPerClassMetric"	0.002
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"LexicalRegularityClassPercentageMetric"	0.002
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"LexicallySuggestLogicallyDefineMetric"	0.811
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"SystematicNamingMetric"	0.807
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"NumberOfClassesMetric"	814
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"NamesPerClassMetric"	1.31
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"NamesPerPropertyMetric"	0.822
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"DescriptionsPerAnnotationPropertyMetric"	0.436
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"NamesPerDataPropertyMetric"	1.091
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"NamesPerObjectPropertyMetric"	1.348
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"SynonymsPerClassMetric"	0
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"SynonymsPerPropertyMetric"	0
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"SynonymsPerDataPropertyMetric"	0
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"SynonymsPerObjectPropertyMetric"	0
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"DescriptionsPerClassMetric"	0.407
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"DescriptionsPerPropertyMetric"	0.082
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"DescriptionsPerAnnotationPropertyMetric"	0.128
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"DescriptionsPerDataPropertyMetric"	0
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"DescriptionsPerObjectPropertyMetric"	0.043
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"ClassesWithNoNameMetric"	0.014
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"ClassesWithNoDescriptionMetric"	0.595
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"ClassesWithNoSynonymMetric"	1
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"ObjectPropertiesWithNoNameMetric"	0
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"ObjectPropertiesWithNoDescriptionMetric"	0.957
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"DataPropertiesWithNoNameMetric"	0
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"DataPropertiesWithNoDescriptionMetric"	1
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"DataPropertiesWithNoSynonymMetric"	1
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"AnnotationPropertiesWithNoNameMetric"	0.744
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"AnnotationPropertiesWithNoDescriptionMetric"	0.872
"http://www.ontology-of-units-of-measure.org/resource/om-2"	"AnnotationPropertiesWithNoSynonymMetric"	1
