Ontology	Metric	Value
"http://purl.bioontology.org/ontology/OMIM/"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.bioontology.org/ontology/OMIM/"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.bioontology.org/ontology/OMIM/"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.bioontology.org/ontology/OMIM/"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.bioontology.org/ontology/OMIM/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.bioontology.org/ontology/OMIM/"	"SystematicNamingMetric"	NaN
"http://purl.bioontology.org/ontology/OMIM/"	"NumberOfClassesMetric"	106439
"http://purl.bioontology.org/ontology/OMIM/"	"NamesPerClassMetric"	1
"http://purl.bioontology.org/ontology/OMIM/"	"NamesPerPropertyMetric"	0.792
"http://purl.bioontology.org/ontology/OMIM/"	"DescriptionsPerAnnotationPropertyMetric"	0.286
"http://purl.bioontology.org/ontology/OMIM/"	"NamesPerDataPropertyMetric"	1
"http://purl.bioontology.org/ontology/OMIM/"	"NamesPerObjectPropertyMetric"	1
"http://purl.bioontology.org/ontology/OMIM/"	"SynonymsPerClassMetric"	0.83
"http://purl.bioontology.org/ontology/OMIM/"	"SynonymsPerPropertyMetric"	0
"http://purl.bioontology.org/ontology/OMIM/"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.bioontology.org/ontology/OMIM/"	"SynonymsPerDataPropertyMetric"	0
"http://purl.bioontology.org/ontology/OMIM/"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.bioontology.org/ontology/OMIM/"	"DescriptionsPerClassMetric"	0
"http://purl.bioontology.org/ontology/OMIM/"	"DescriptionsPerPropertyMetric"	1
"http://purl.bioontology.org/ontology/OMIM/"	"DescriptionsPerAnnotationPropertyMetric"	1
"http://purl.bioontology.org/ontology/OMIM/"	"DescriptionsPerDataPropertyMetric"	1
"http://purl.bioontology.org/ontology/OMIM/"	"DescriptionsPerObjectPropertyMetric"	1
"http://purl.bioontology.org/ontology/OMIM/"	"ClassesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/OMIM/"	"ClassesWithNoDescriptionMetric"	1
"http://purl.bioontology.org/ontology/OMIM/"	"ClassesWithNoSynonymMetric"	0.76
"http://purl.bioontology.org/ontology/OMIM/"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/OMIM/"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://purl.bioontology.org/ontology/OMIM/"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.bioontology.org/ontology/OMIM/"	"DataPropertiesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/OMIM/"	"DataPropertiesWithNoDescriptionMetric"	0
"http://purl.bioontology.org/ontology/OMIM/"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.bioontology.org/ontology/OMIM/"	"AnnotationPropertiesWithNoNameMetric"	0.714
"http://purl.bioontology.org/ontology/OMIM/"	"AnnotationPropertiesWithNoDescriptionMetric"	0.714
"http://purl.bioontology.org/ontology/OMIM/"	"AnnotationPropertiesWithNoSynonymMetric"	1
