Ontology	Metric	Value
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"NumberOfLexicalRegularitiesMetric"	6
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"NumberOfLexicalRegularityClassesMetric"	2
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"LexicalRegularitiesPerClassMetric"	0.214
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"LexicalRegularityClassPercentageMetric"	0.071
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"LexicallySuggestLogicallyDefineMetric"	1
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"SystematicNamingMetric"	0.839
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"NumberOfClassesMetric"	29
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"NamesPerClassMetric"	0.964
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"NamesPerPropertyMetric"	0.589
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.589
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"NamesPerObjectPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"SynonymsPerClassMetric"	0.321
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"SynonymsPerObjectPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"DescriptionsPerClassMetric"	0.714
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"DescriptionsPerPropertyMetric"	0.571
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.571
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"ClassesWithNoNameMetric"	0.036
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"ClassesWithNoDescriptionMetric"	0.286
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"ClassesWithNoSynonymMetric"	0.714
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"AnnotationPropertiesWithNoNameMetric"	0.411
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.518
"http://purl.obolibrary.org/obo/omo/2020-05-08/omo.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
