Ontology	Metric	Value
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"NumberOfLexicalRegularitiesMetric"	8
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"NumberOfLexicalRegularityClassesMetric"	1
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"LexicalRegularitiesPerClassMetric"	0.004
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"LexicallySuggestLogicallyDefineMetric"	0.382
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"NumberOfClassesMetric"	2256
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"NamesPerPropertyMetric"	0.667
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.386
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"SynonymsPerClassMetric"	0.392
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"SynonymsPerPropertyMetric"	0.016
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"SynonymsPerObjectPropertyMetric"	0.034
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"DescriptionsPerClassMetric"	1.043
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"DescriptionsPerPropertyMetric"	0.488
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.4
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"DescriptionsPerObjectPropertyMetric"	0.593
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"ClassesWithNoDescriptionMetric"	0.089
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"ClassesWithNoSynonymMetric"	0.79
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.607
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.967
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"AnnotationPropertiesWithNoNameMetric"	0.614
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.6
"http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
