Ontology	Metric	Value
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"NumberOfLexicalRegularitiesMetric"	2
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"NumberOfLexicalRegularityClassesMetric"	2
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"LexicalRegularitiesPerClassMetric"	0.003
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"LexicalRegularityClassPercentageMetric"	0.003
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"LexicallySuggestLogicallyDefineMetric"	1
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"SystematicNamingMetric"	0.182
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"NumberOfClassesMetric"	583
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"NamesPerClassMetric"	0.998
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"NamesPerPropertyMetric"	0.873
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.6
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"NamesPerDataPropertyMetric"	1
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"NamesPerObjectPropertyMetric"	1.062
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"SynonymsPerClassMetric"	0.39
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"SynonymsPerPropertyMetric"	0.251
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"SynonymsPerDataPropertyMetric"	0.167
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"SynonymsPerObjectPropertyMetric"	0.432
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"DescriptionsPerClassMetric"	1.012
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"DescriptionsPerPropertyMetric"	0.762
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.512
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"DescriptionsPerDataPropertyMetric"	0.167
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"DescriptionsPerObjectPropertyMetric"	0.96
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"ClassesWithNoNameMetric"	0.002
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"ClassesWithNoDescriptionMetric"	0.198
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"ClassesWithNoSynonymMetric"	0.821
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"ObjectPropertiesWithNoNameMetric"	0.005
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.142
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.716
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"DataPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"DataPropertiesWithNoDescriptionMetric"	0.833
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"DataPropertiesWithNoSynonymMetric"	0.833
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"AnnotationPropertiesWithNoNameMetric"	0.472
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.536
"http://purl.obolibrary.org/obo/omrse/releases/2024-03-22/omrse.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
