Ontology	Metric	Value
"http://omv.ontoware.org/2005/05/ontology"	"NumberOfLexicalRegularitiesMetric"	0
"http://omv.ontoware.org/2005/05/ontology"	"NumberOfLexicalRegularityClassesMetric"	0
"http://omv.ontoware.org/2005/05/ontology"	"LexicalRegularitiesPerClassMetric"	0
"http://omv.ontoware.org/2005/05/ontology"	"LexicalRegularityClassPercentageMetric"	0
"http://omv.ontoware.org/2005/05/ontology"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://omv.ontoware.org/2005/05/ontology"	"SystematicNamingMetric"	NaN
"http://omv.ontoware.org/2005/05/ontology"	"NumberOfClassesMetric"	16
"http://omv.ontoware.org/2005/05/ontology"	"NamesPerClassMetric"	1
"http://omv.ontoware.org/2005/05/ontology"	"NamesPerPropertyMetric"	0.969
"http://omv.ontoware.org/2005/05/ontology"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://omv.ontoware.org/2005/05/ontology"	"NamesPerDataPropertyMetric"	1
"http://omv.ontoware.org/2005/05/ontology"	"NamesPerObjectPropertyMetric"	1
"http://omv.ontoware.org/2005/05/ontology"	"SynonymsPerClassMetric"	0
"http://omv.ontoware.org/2005/05/ontology"	"SynonymsPerPropertyMetric"	0
"http://omv.ontoware.org/2005/05/ontology"	"SynonymsPerAnnotationPropertyMetric"	0
"http://omv.ontoware.org/2005/05/ontology"	"SynonymsPerDataPropertyMetric"	0
"http://omv.ontoware.org/2005/05/ontology"	"SynonymsPerObjectPropertyMetric"	0
"http://omv.ontoware.org/2005/05/ontology"	"DescriptionsPerClassMetric"	1
"http://omv.ontoware.org/2005/05/ontology"	"DescriptionsPerPropertyMetric"	0.453
"http://omv.ontoware.org/2005/05/ontology"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://omv.ontoware.org/2005/05/ontology"	"DescriptionsPerDataPropertyMetric"	0.966
"http://omv.ontoware.org/2005/05/ontology"	"DescriptionsPerObjectPropertyMetric"	0.03
"http://omv.ontoware.org/2005/05/ontology"	"ClassesWithNoNameMetric"	0
"http://omv.ontoware.org/2005/05/ontology"	"ClassesWithNoDescriptionMetric"	0
"http://omv.ontoware.org/2005/05/ontology"	"ClassesWithNoSynonymMetric"	1
"http://omv.ontoware.org/2005/05/ontology"	"ObjectPropertiesWithNoNameMetric"	0
"http://omv.ontoware.org/2005/05/ontology"	"ObjectPropertiesWithNoDescriptionMetric"	0.97
"http://omv.ontoware.org/2005/05/ontology"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://omv.ontoware.org/2005/05/ontology"	"DataPropertiesWithNoNameMetric"	0
"http://omv.ontoware.org/2005/05/ontology"	"DataPropertiesWithNoDescriptionMetric"	0.034
"http://omv.ontoware.org/2005/05/ontology"	"DataPropertiesWithNoSynonymMetric"	1
"http://omv.ontoware.org/2005/05/ontology"	"AnnotationPropertiesWithNoNameMetric"	1
"http://omv.ontoware.org/2005/05/ontology"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://omv.ontoware.org/2005/05/ontology"	"AnnotationPropertiesWithNoSynonymMetric"	1
