Ontology	Metric	Value
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"SystematicNamingMetric"	NaN
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"NumberOfClassesMetric"	208
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"NamesPerClassMetric"	0.116
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"NamesPerPropertyMetric"	0.842
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"NamesPerDataPropertyMetric"	NaN
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"NamesPerObjectPropertyMetric"	1
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"SynonymsPerClassMetric"	0
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"SynonymsPerPropertyMetric"	0
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"DescriptionsPerClassMetric"	0.618
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"DescriptionsPerPropertyMetric"	0
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"ClassesWithNoNameMetric"	0.942
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"ClassesWithNoDescriptionMetric"	0.382
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"ClassesWithNoSynonymMetric"	1
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"ObjectPropertiesWithNoNameMetric"	0.5
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-mr-dataset-acquisition.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
