Ontology	Metric	Value
"http://www.ontodm.com/OntoDT"	"NumberOfLexicalRegularitiesMetric"	1
"http://www.ontodm.com/OntoDT"	"NumberOfLexicalRegularityClassesMetric"	1
"http://www.ontodm.com/OntoDT"	"LexicalRegularitiesPerClassMetric"	0.003
"http://www.ontodm.com/OntoDT"	"LexicalRegularityClassPercentageMetric"	0.003
"http://www.ontodm.com/OntoDT"	"LexicallySuggestLogicallyDefineMetric"	0.984
"http://www.ontodm.com/OntoDT"	"SystematicNamingMetric"	0.839
"http://www.ontodm.com/OntoDT"	"NumberOfClassesMetric"	377
"http://www.ontodm.com/OntoDT"	"NamesPerClassMetric"	1
"http://www.ontodm.com/OntoDT"	"NamesPerPropertyMetric"	0.564
"http://www.ontodm.com/OntoDT"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.ontodm.com/OntoDT"	"NamesPerDataPropertyMetric"	1
"http://www.ontodm.com/OntoDT"	"NamesPerObjectPropertyMetric"	1
"http://www.ontodm.com/OntoDT"	"SynonymsPerClassMetric"	0
"http://www.ontodm.com/OntoDT"	"SynonymsPerPropertyMetric"	0
"http://www.ontodm.com/OntoDT"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.ontodm.com/OntoDT"	"SynonymsPerDataPropertyMetric"	0
"http://www.ontodm.com/OntoDT"	"SynonymsPerObjectPropertyMetric"	0
"http://www.ontodm.com/OntoDT"	"DescriptionsPerClassMetric"	0.146
"http://www.ontodm.com/OntoDT"	"DescriptionsPerPropertyMetric"	0.154
"http://www.ontodm.com/OntoDT"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.ontodm.com/OntoDT"	"DescriptionsPerDataPropertyMetric"	0
"http://www.ontodm.com/OntoDT"	"DescriptionsPerObjectPropertyMetric"	0.286
"http://www.ontodm.com/OntoDT"	"ClassesWithNoNameMetric"	0.003
"http://www.ontodm.com/OntoDT"	"ClassesWithNoDescriptionMetric"	0.87
"http://www.ontodm.com/OntoDT"	"ClassesWithNoSynonymMetric"	1
"http://www.ontodm.com/OntoDT"	"ObjectPropertiesWithNoNameMetric"	0
"http://www.ontodm.com/OntoDT"	"ObjectPropertiesWithNoDescriptionMetric"	0.714
"http://www.ontodm.com/OntoDT"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.ontodm.com/OntoDT"	"DataPropertiesWithNoNameMetric"	0
"http://www.ontodm.com/OntoDT"	"DataPropertiesWithNoDescriptionMetric"	1
"http://www.ontodm.com/OntoDT"	"DataPropertiesWithNoSynonymMetric"	1
"http://www.ontodm.com/OntoDT"	"AnnotationPropertiesWithNoNameMetric"	1
"http://www.ontodm.com/OntoDT"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://www.ontodm.com/OntoDT"	"AnnotationPropertiesWithNoSynonymMetric"	1
