Ontology	Metric	Value
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"NumberOfLexicalRegularitiesMetric"	3
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"LexicalRegularitiesPerClassMetric"	0.007
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"NumberOfClassesMetric"	438
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"NamesPerClassMetric"	1.002
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"NamesPerPropertyMetric"	1.012
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.98
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"NamesPerDataPropertyMetric"	1
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"NamesPerObjectPropertyMetric"	1.065
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"SynonymsPerClassMetric"	0.475
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"SynonymsPerPropertyMetric"	0.185
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"SynonymsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"SynonymsPerObjectPropertyMetric"	0.484
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"DescriptionsPerClassMetric"	1.123
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"DescriptionsPerPropertyMetric"	0.63
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.469
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"DescriptionsPerDataPropertyMetric"	1
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"DescriptionsPerObjectPropertyMetric"	0.871
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"ClassesWithNoNameMetric"	0.002
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"ClassesWithNoDescriptionMetric"	0.021
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"ClassesWithNoSynonymMetric"	0.817
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"ObjectPropertiesWithNoNameMetric"	0.029
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.147
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.676
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"DataPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"DataPropertiesWithNoDescriptionMetric"	0
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"AnnotationPropertiesWithNoNameMetric"	0.367
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.592
"http://purl.obolibrary.org/obo/oostt/release/2024-01-25/oostt.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
