Ontology	Metric	Value
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"NumberOfLexicalRegularitiesMetric"	1
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"NumberOfLexicalRegularityClassesMetric"	1
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"LexicalRegularitiesPerClassMetric"	0.006
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"LexicalRegularityClassPercentageMetric"	0.006
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"LexicallySuggestLogicallyDefineMetric"	1
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"SystematicNamingMetric"	0.941
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"NumberOfClassesMetric"	164
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"NamesPerPropertyMetric"	1.048
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"DescriptionsPerAnnotationPropertyMetric"	1.077
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"SynonymsPerClassMetric"	0.245
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"DescriptionsPerClassMetric"	0.834
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"DescriptionsPerPropertyMetric"	0.714
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.538
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"DescriptionsPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"ClassesWithNoDescriptionMetric"	0.166
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"ClassesWithNoSynonymMetric"	0.791
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"AnnotationPropertiesWithNoNameMetric"	0.462
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.615
"http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
