Ontology	Metric	Value
"http://purl.obolibrary.org/obo/ovae.owl"	"NumberOfLexicalRegularitiesMetric"	3
"http://purl.obolibrary.org/obo/ovae.owl"	"NumberOfLexicalRegularityClassesMetric"	1
"http://purl.obolibrary.org/obo/ovae.owl"	"LexicalRegularitiesPerClassMetric"	0.002
"http://purl.obolibrary.org/obo/ovae.owl"	"LexicalRegularityClassPercentageMetric"	0.001
"http://purl.obolibrary.org/obo/ovae.owl"	"LexicallySuggestLogicallyDefineMetric"	0.925
"http://purl.obolibrary.org/obo/ovae.owl"	"SystematicNamingMetric"	0.435
"http://purl.obolibrary.org/obo/ovae.owl"	"NumberOfClassesMetric"	1555
"http://purl.obolibrary.org/obo/ovae.owl"	"NamesPerClassMetric"	1.002
"http://purl.obolibrary.org/obo/ovae.owl"	"NamesPerPropertyMetric"	0.949
"http://purl.obolibrary.org/obo/ovae.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.824
"http://purl.obolibrary.org/obo/ovae.owl"	"NamesPerDataPropertyMetric"	1
"http://purl.obolibrary.org/obo/ovae.owl"	"NamesPerObjectPropertyMetric"	1.042
"http://purl.obolibrary.org/obo/ovae.owl"	"SynonymsPerClassMetric"	1.068
"http://purl.obolibrary.org/obo/ovae.owl"	"SynonymsPerPropertyMetric"	0.19
"http://purl.obolibrary.org/obo/ovae.owl"	"SynonymsPerAnnotationPropertyMetric"	0.019
"http://purl.obolibrary.org/obo/ovae.owl"	"SynonymsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/ovae.owl"	"SynonymsPerObjectPropertyMetric"	0.322
"http://purl.obolibrary.org/obo/ovae.owl"	"DescriptionsPerClassMetric"	0.943
"http://purl.obolibrary.org/obo/ovae.owl"	"DescriptionsPerPropertyMetric"	0.668
"http://purl.obolibrary.org/obo/ovae.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.574
"http://purl.obolibrary.org/obo/ovae.owl"	"DescriptionsPerDataPropertyMetric"	0.5
"http://purl.obolibrary.org/obo/ovae.owl"	"DescriptionsPerObjectPropertyMetric"	0.741
"http://purl.obolibrary.org/obo/ovae.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/ovae.owl"	"ClassesWithNoDescriptionMetric"	0.137
"http://purl.obolibrary.org/obo/ovae.owl"	"ClassesWithNoSynonymMetric"	0.669
"http://purl.obolibrary.org/obo/ovae.owl"	"ObjectPropertiesWithNoNameMetric"	0.035
"http://purl.obolibrary.org/obo/ovae.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.336
"http://purl.obolibrary.org/obo/ovae.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.797
"http://purl.obolibrary.org/obo/ovae.owl"	"DataPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/ovae.owl"	"DataPropertiesWithNoDescriptionMetric"	0.5
"http://purl.obolibrary.org/obo/ovae.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/ovae.owl"	"AnnotationPropertiesWithNoNameMetric"	0.398
"http://purl.obolibrary.org/obo/ovae.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.5
"http://purl.obolibrary.org/obo/ovae.owl"	"AnnotationPropertiesWithNoSynonymMetric"	0.981
