Ontology	Metric	Value
"http://purl.org/pan-science/PaNET/PaNET.owl"	"NumberOfLexicalRegularitiesMetric"	4
"http://purl.org/pan-science/PaNET/PaNET.owl"	"NumberOfLexicalRegularityClassesMetric"	2
"http://purl.org/pan-science/PaNET/PaNET.owl"	"LexicalRegularitiesPerClassMetric"	0.011
"http://purl.org/pan-science/PaNET/PaNET.owl"	"LexicalRegularityClassPercentageMetric"	0.005
"http://purl.org/pan-science/PaNET/PaNET.owl"	"LexicallySuggestLogicallyDefineMetric"	0.807
"http://purl.org/pan-science/PaNET/PaNET.owl"	"SystematicNamingMetric"	0.615
"http://purl.org/pan-science/PaNET/PaNET.owl"	"NumberOfClassesMetric"	380
"http://purl.org/pan-science/PaNET/PaNET.owl"	"NamesPerClassMetric"	0.989
"http://purl.org/pan-science/PaNET/PaNET.owl"	"NamesPerPropertyMetric"	0.053
"http://purl.org/pan-science/PaNET/PaNET.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.org/pan-science/PaNET/PaNET.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.org/pan-science/PaNET/PaNET.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.org/pan-science/PaNET/PaNET.owl"	"SynonymsPerClassMetric"	0.364
"http://purl.org/pan-science/PaNET/PaNET.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.org/pan-science/PaNET/PaNET.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.org/pan-science/PaNET/PaNET.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.org/pan-science/PaNET/PaNET.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.org/pan-science/PaNET/PaNET.owl"	"DescriptionsPerClassMetric"	0.045
"http://purl.org/pan-science/PaNET/PaNET.owl"	"DescriptionsPerPropertyMetric"	0
"http://purl.org/pan-science/PaNET/PaNET.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.org/pan-science/PaNET/PaNET.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.org/pan-science/PaNET/PaNET.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://purl.org/pan-science/PaNET/PaNET.owl"	"ClassesWithNoNameMetric"	0.011
"http://purl.org/pan-science/PaNET/PaNET.owl"	"ClassesWithNoDescriptionMetric"	0.955
"http://purl.org/pan-science/PaNET/PaNET.owl"	"ClassesWithNoSynonymMetric"	0.686
"http://purl.org/pan-science/PaNET/PaNET.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.org/pan-science/PaNET/PaNET.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://purl.org/pan-science/PaNET/PaNET.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.org/pan-science/PaNET/PaNET.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.org/pan-science/PaNET/PaNET.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.org/pan-science/PaNET/PaNET.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.org/pan-science/PaNET/PaNET.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://purl.org/pan-science/PaNET/PaNET.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.org/pan-science/PaNET/PaNET.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
