Ontology	Metric	Value
"http://purl.org/pav/2.3"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.org/pav/2.3"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.org/pav/2.3"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.org/pav/2.3"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.org/pav/2.3"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.org/pav/2.3"	"SystematicNamingMetric"	NaN
"http://purl.org/pav/2.3"	"NumberOfClassesMetric"	2
"http://purl.org/pav/2.3"	"NamesPerClassMetric"	0
"http://purl.org/pav/2.3"	"NamesPerPropertyMetric"	0.683
"http://purl.org/pav/2.3"	"DescriptionsPerAnnotationPropertyMetric"	0.167
"http://purl.org/pav/2.3"	"NamesPerDataPropertyMetric"	1
"http://purl.org/pav/2.3"	"NamesPerObjectPropertyMetric"	1
"http://purl.org/pav/2.3"	"SynonymsPerClassMetric"	0
"http://purl.org/pav/2.3"	"SynonymsPerPropertyMetric"	0
"http://purl.org/pav/2.3"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.org/pav/2.3"	"SynonymsPerDataPropertyMetric"	0
"http://purl.org/pav/2.3"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.org/pav/2.3"	"DescriptionsPerClassMetric"	0
"http://purl.org/pav/2.3"	"DescriptionsPerPropertyMetric"	0.46
"http://purl.org/pav/2.3"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.org/pav/2.3"	"DescriptionsPerDataPropertyMetric"	1
"http://purl.org/pav/2.3"	"DescriptionsPerObjectPropertyMetric"	0.643
"http://purl.org/pav/2.3"	"ClassesWithNoNameMetric"	1
"http://purl.org/pav/2.3"	"ClassesWithNoDescriptionMetric"	1
"http://purl.org/pav/2.3"	"ClassesWithNoSynonymMetric"	1
"http://purl.org/pav/2.3"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.org/pav/2.3"	"ObjectPropertiesWithNoDescriptionMetric"	0.345
"http://purl.org/pav/2.3"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.org/pav/2.3"	"DataPropertiesWithNoNameMetric"	0
"http://purl.org/pav/2.3"	"DataPropertiesWithNoDescriptionMetric"	0
"http://purl.org/pav/2.3"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.org/pav/2.3"	"AnnotationPropertiesWithNoNameMetric"	0.833
"http://purl.org/pav/2.3"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.org/pav/2.3"	"AnnotationPropertiesWithNoSynonymMetric"	1
