Ontology	Metric	Value
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"NumberOfLexicalRegularitiesMetric"	0
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"NumberOfLexicalRegularityClassesMetric"	0
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"LexicalRegularitiesPerClassMetric"	0
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"LexicalRegularityClassPercentageMetric"	0
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"SystematicNamingMetric"	NaN
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"NumberOfClassesMetric"	397
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"NamesPerClassMetric"	1
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"NamesPerPropertyMetric"	0
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"NamesPerDataPropertyMetric"	NaN
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"NamesPerObjectPropertyMetric"	0
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"SynonymsPerClassMetric"	0
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"SynonymsPerPropertyMetric"	0
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"SynonymsPerDataPropertyMetric"	NaN
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"SynonymsPerObjectPropertyMetric"	0
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"DescriptionsPerClassMetric"	0
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"DescriptionsPerPropertyMetric"	0
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"DescriptionsPerDataPropertyMetric"	NaN
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"DescriptionsPerObjectPropertyMetric"	0
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"ClassesWithNoNameMetric"	0
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"ClassesWithNoDescriptionMetric"	1
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"ClassesWithNoSynonymMetric"	1
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"ObjectPropertiesWithNoNameMetric"	1
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"DataPropertiesWithNoNameMetric"	NaN
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"AnnotationPropertiesWithNoNameMetric"	1
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://www.semanticweb.org/ontologies/Prostate_cancer"	"AnnotationPropertiesWithNoSynonymMetric"	1
