Ontology	Metric	Value
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"NumberOfLexicalRegularitiesMetric"	13
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"NumberOfLexicalRegularityClassesMetric"	1
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"LexicalRegularitiesPerClassMetric"	0.059
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"LexicalRegularityClassPercentageMetric"	0.005
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"NumberOfClassesMetric"	221
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"NamesPerClassMetric"	1.647
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"NamesPerPropertyMetric"	1.871
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"DescriptionsPerAnnotationPropertyMetric"	1.8
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"NamesPerDataPropertyMetric"	2
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"NamesPerObjectPropertyMetric"	1.929
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"SynonymsPerClassMetric"	0.163
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"SynonymsPerPropertyMetric"	0.355
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"SynonymsPerAnnotationPropertyMetric"	0.067
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"SynonymsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"SynonymsPerObjectPropertyMetric"	0.714
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"DescriptionsPerClassMetric"	1.602
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"DescriptionsPerPropertyMetric"	1.194
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"DescriptionsPerAnnotationPropertyMetric"	1.067
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"DescriptionsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"DescriptionsPerObjectPropertyMetric"	1.5
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"ClassesWithNoNameMetric"	0.032
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"ClassesWithNoDescriptionMetric"	0.131
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"ClassesWithNoSynonymMetric"	0.914
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.571
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"DataPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"DataPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"AnnotationPropertiesWithNoNameMetric"	0.267
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.467
"http://purl.obolibrary.org/obo/2020-02-05/pdro.owl"	"AnnotationPropertiesWithNoSynonymMetric"	0.933
