Ontology	Metric	Value
"http://www.pepathway.org/peo/1.2"	"NumberOfLexicalRegularitiesMetric"	0
"http://www.pepathway.org/peo/1.2"	"NumberOfLexicalRegularityClassesMetric"	0
"http://www.pepathway.org/peo/1.2"	"LexicalRegularitiesPerClassMetric"	0
"http://www.pepathway.org/peo/1.2"	"LexicalRegularityClassPercentageMetric"	0
"http://www.pepathway.org/peo/1.2"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://www.pepathway.org/peo/1.2"	"SystematicNamingMetric"	NaN
"http://www.pepathway.org/peo/1.2"	"NumberOfClassesMetric"	1251
"http://www.pepathway.org/peo/1.2"	"NamesPerClassMetric"	1
"http://www.pepathway.org/peo/1.2"	"NamesPerPropertyMetric"	0.03
"http://www.pepathway.org/peo/1.2"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.pepathway.org/peo/1.2"	"NamesPerDataPropertyMetric"	NaN
"http://www.pepathway.org/peo/1.2"	"NamesPerObjectPropertyMetric"	0.077
"http://www.pepathway.org/peo/1.2"	"SynonymsPerClassMetric"	0
"http://www.pepathway.org/peo/1.2"	"SynonymsPerPropertyMetric"	0
"http://www.pepathway.org/peo/1.2"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.pepathway.org/peo/1.2"	"SynonymsPerDataPropertyMetric"	NaN
"http://www.pepathway.org/peo/1.2"	"SynonymsPerObjectPropertyMetric"	0
"http://www.pepathway.org/peo/1.2"	"DescriptionsPerClassMetric"	0.181
"http://www.pepathway.org/peo/1.2"	"DescriptionsPerPropertyMetric"	0.303
"http://www.pepathway.org/peo/1.2"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.pepathway.org/peo/1.2"	"DescriptionsPerDataPropertyMetric"	NaN
"http://www.pepathway.org/peo/1.2"	"DescriptionsPerObjectPropertyMetric"	0.769
"http://www.pepathway.org/peo/1.2"	"ClassesWithNoNameMetric"	0.002
"http://www.pepathway.org/peo/1.2"	"ClassesWithNoDescriptionMetric"	0.868
"http://www.pepathway.org/peo/1.2"	"ClassesWithNoSynonymMetric"	1
"http://www.pepathway.org/peo/1.2"	"ObjectPropertiesWithNoNameMetric"	0.923
"http://www.pepathway.org/peo/1.2"	"ObjectPropertiesWithNoDescriptionMetric"	0.308
"http://www.pepathway.org/peo/1.2"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.pepathway.org/peo/1.2"	"DataPropertiesWithNoNameMetric"	NaN
"http://www.pepathway.org/peo/1.2"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://www.pepathway.org/peo/1.2"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://www.pepathway.org/peo/1.2"	"AnnotationPropertiesWithNoNameMetric"	1
"http://www.pepathway.org/peo/1.2"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://www.pepathway.org/peo/1.2"	"AnnotationPropertiesWithNoSynonymMetric"	1
