Ontology	Metric	Value
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"NumberOfLexicalRegularitiesMetric"	1
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"NumberOfClassesMetric"	2538
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"NamesPerPropertyMetric"	0.5
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.476
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"SynonymsPerClassMetric"	2.989
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"DescriptionsPerClassMetric"	0.717
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"DescriptionsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"ClassesWithNoDescriptionMetric"	0.302
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"ClassesWithNoSynonymMetric"	0.165
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"AnnotationPropertiesWithNoNameMetric"	0.524
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
