Ontology	Metric	Value
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"NumberOfLexicalRegularitiesMetric"	1
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"NumberOfLexicalRegularityClassesMetric"	1
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"LexicalRegularitiesPerClassMetric"	0.001
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"LexicalRegularityClassPercentageMetric"	0.001
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"LexicallySuggestLogicallyDefineMetric"	0.855
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"SystematicNamingMetric"	0.639
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"NumberOfClassesMetric"	823
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"NamesPerClassMetric"	1.006
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"NamesPerPropertyMetric"	0.728
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"DescriptionsPerAnnotationPropertyMetric"	0.299
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"NamesPerObjectPropertyMetric"	1.087
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"SynonymsPerClassMetric"	0.977
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"SynonymsPerPropertyMetric"	0.201
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"SynonymsPerObjectPropertyMetric"	0.369
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"DescriptionsPerClassMetric"	1.09
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"DescriptionsPerPropertyMetric"	0.612
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"DescriptionsPerAnnotationPropertyMetric"	0.134
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"DescriptionsPerObjectPropertyMetric"	1.012
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"ClassesWithNoDescriptionMetric"	0.015
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"ClassesWithNoSynonymMetric"	0.541
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"ObjectPropertiesWithNoNameMetric"	0.006
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"ObjectPropertiesWithNoDescriptionMetric"	0.119
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"ObjectPropertiesWithNoSynonymMetric"	0.744
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"AnnotationPropertiesWithNoNameMetric"	0.746
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"AnnotationPropertiesWithNoDescriptionMetric"	0.881
"http://purl.obolibrary.org/obo/plana/releases/2023-03-13"	"AnnotationPropertiesWithNoSynonymMetric"	1
