Ontology	Metric	Value
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"NumberOfLexicalRegularitiesMetric"	6
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"NumberOfLexicalRegularityClassesMetric"	2
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"LexicalRegularitiesPerClassMetric"	0.014
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"LexicalRegularityClassPercentageMetric"	0.005
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"LexicallySuggestLogicallyDefineMetric"	0.44
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"SystematicNamingMetric"	0.889
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"NumberOfClassesMetric"	443
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"NamesPerClassMetric"	0.989
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"NamesPerPropertyMetric"	0.922
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.818
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"NamesPerDataPropertyMetric"	1
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"NamesPerObjectPropertyMetric"	1.121
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"SynonymsPerClassMetric"	1.299
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"SynonymsPerPropertyMetric"	0.126
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"SynonymsPerDataPropertyMetric"	0
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"SynonymsPerObjectPropertyMetric"	0.394
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"DescriptionsPerClassMetric"	1.269
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"DescriptionsPerPropertyMetric"	0.65
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.515
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"DescriptionsPerDataPropertyMetric"	1
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"DescriptionsPerObjectPropertyMetric"	0.879
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"ClassesWithNoNameMetric"	0.011
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"ClassesWithNoDescriptionMetric"	0.072
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"ClassesWithNoSynonymMetric"	0.699
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"ObjectPropertiesWithNoNameMetric"	0
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.212
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.697
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"DataPropertiesWithNoNameMetric"	0
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"DataPropertiesWithNoDescriptionMetric"	0
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"DataPropertiesWithNoSynonymMetric"	1
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"AnnotationPropertiesWithNoNameMetric"	0.333
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.576
"https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
