Ontology	Metric	Value
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"NumberOfClassesMetric"	922
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"NamesPerClassMetric"	1.014
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"NamesPerPropertyMetric"	0.667
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.584
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"NamesPerDataPropertyMetric"	1
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"NamesPerObjectPropertyMetric"	0.772
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"SynonymsPerClassMetric"	1.663
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"SynonymsPerPropertyMetric"	0.093
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"SynonymsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"SynonymsPerObjectPropertyMetric"	0.246
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"DescriptionsPerClassMetric"	0.935
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"DescriptionsPerPropertyMetric"	0.567
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.506
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"DescriptionsPerDataPropertyMetric"	0.75
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"DescriptionsPerObjectPropertyMetric"	0.649
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"ClassesWithNoDescriptionMetric"	0.087
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"ClassesWithNoSynonymMetric"	0.479
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"ObjectPropertiesWithNoNameMetric"	0.259
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.397
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.793
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"DataPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"DataPropertiesWithNoDescriptionMetric"	0.25
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"AnnotationPropertiesWithNoNameMetric"	0.562
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.719
"http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
