Ontology	Metric	Value
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"NumberOfLexicalRegularitiesMetric"	5
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"LexicalRegularitiesPerClassMetric"	0.053
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"NumberOfClassesMetric"	94
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"NamesPerClassMetric"	0.979
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"NamesPerPropertyMetric"	1.083
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"DescriptionsPerAnnotationPropertyMetric"	1
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"NamesPerObjectPropertyMetric"	1.2
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"SynonymsPerClassMetric"	0.011
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"SynonymsPerPropertyMetric"	0.292
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"SynonymsPerObjectPropertyMetric"	0.7
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"DescriptionsPerClassMetric"	0.957
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"DescriptionsPerPropertyMetric"	1.083
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.857
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"DescriptionsPerObjectPropertyMetric"	1.4
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"ClassesWithNoNameMetric"	0.021
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"ClassesWithNoDescriptionMetric"	0.043
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"ClassesWithNoSynonymMetric"	0.989
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.5
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"AnnotationPropertiesWithNoNameMetric"	0.357
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.429
"http://purl.obolibrary.org/obo/2022-02-23/psdo.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
