Ontology	Metric	Value
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"NumberOfLexicalRegularitiesMetric"	57
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"NumberOfLexicalRegularityClassesMetric"	12
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"LexicalRegularitiesPerClassMetric"	0.029
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"LexicalRegularityClassPercentageMetric"	0.006
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"LexicallySuggestLogicallyDefineMetric"	0.003
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"SystematicNamingMetric"	0.698
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"NumberOfClassesMetric"	1978
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"NamesPerPropertyMetric"	0.778
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.75
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"SynonymsPerClassMetric"	3.598
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"DescriptionsPerClassMetric"	1.406
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"DescriptionsPerPropertyMetric"	0.194
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.031
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"DescriptionsPerObjectPropertyMetric"	1.5
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"ClassesWithNoDescriptionMetric"	0
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"ClassesWithNoSynonymMetric"	0.143
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"AnnotationPropertiesWithNoNameMetric"	0.25
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.969
"http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
