Ontology	Metric	Value
"http://qudt.org/2.1/schema/qudt"	"NumberOfLexicalRegularitiesMetric"	3
"http://qudt.org/2.1/schema/qudt"	"NumberOfLexicalRegularityClassesMetric"	1
"http://qudt.org/2.1/schema/qudt"	"LexicalRegularitiesPerClassMetric"	0.029
"http://qudt.org/2.1/schema/qudt"	"LexicalRegularityClassPercentageMetric"	0.01
"http://qudt.org/2.1/schema/qudt"	"LexicallySuggestLogicallyDefineMetric"	1
"http://qudt.org/2.1/schema/qudt"	"SystematicNamingMetric"	1
"http://qudt.org/2.1/schema/qudt"	"NumberOfClassesMetric"	105
"http://qudt.org/2.1/schema/qudt"	"NamesPerClassMetric"	0.827
"http://qudt.org/2.1/schema/qudt"	"NamesPerPropertyMetric"	0.918
"http://qudt.org/2.1/schema/qudt"	"DescriptionsPerAnnotationPropertyMetric"	0.654
"http://qudt.org/2.1/schema/qudt"	"NamesPerDataPropertyMetric"	1
"http://qudt.org/2.1/schema/qudt"	"NamesPerObjectPropertyMetric"	1
"http://qudt.org/2.1/schema/qudt"	"SynonymsPerClassMetric"	0
"http://qudt.org/2.1/schema/qudt"	"SynonymsPerPropertyMetric"	0
"http://qudt.org/2.1/schema/qudt"	"SynonymsPerAnnotationPropertyMetric"	0
"http://qudt.org/2.1/schema/qudt"	"SynonymsPerDataPropertyMetric"	0
"http://qudt.org/2.1/schema/qudt"	"SynonymsPerObjectPropertyMetric"	0
"http://qudt.org/2.1/schema/qudt"	"DescriptionsPerClassMetric"	0.404
"http://qudt.org/2.1/schema/qudt"	"DescriptionsPerPropertyMetric"	0.037
"http://qudt.org/2.1/schema/qudt"	"DescriptionsPerAnnotationPropertyMetric"	0.02
"http://qudt.org/2.1/schema/qudt"	"DescriptionsPerDataPropertyMetric"	0.034
"http://qudt.org/2.1/schema/qudt"	"DescriptionsPerObjectPropertyMetric"	0.047
"http://qudt.org/2.1/schema/qudt"	"ClassesWithNoNameMetric"	0.202
"http://qudt.org/2.1/schema/qudt"	"ClassesWithNoDescriptionMetric"	0.644
"http://qudt.org/2.1/schema/qudt"	"ClassesWithNoSynonymMetric"	1
"http://qudt.org/2.1/schema/qudt"	"ObjectPropertiesWithNoNameMetric"	0
"http://qudt.org/2.1/schema/qudt"	"ObjectPropertiesWithNoDescriptionMetric"	0.964
"http://qudt.org/2.1/schema/qudt"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://qudt.org/2.1/schema/qudt"	"DataPropertiesWithNoNameMetric"	0
"http://qudt.org/2.1/schema/qudt"	"DataPropertiesWithNoDescriptionMetric"	0.966
"http://qudt.org/2.1/schema/qudt"	"DataPropertiesWithNoSynonymMetric"	1
"http://qudt.org/2.1/schema/qudt"	"AnnotationPropertiesWithNoNameMetric"	0.346
"http://qudt.org/2.1/schema/qudt"	"AnnotationPropertiesWithNoDescriptionMetric"	0.981
"http://qudt.org/2.1/schema/qudt"	"AnnotationPropertiesWithNoSynonymMetric"	1
