Ontology	Metric	Value
"http://radlex.org/RID/RadLex.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://radlex.org/RID/RadLex.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://radlex.org/RID/RadLex.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://radlex.org/RID/RadLex.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://radlex.org/RID/RadLex.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://radlex.org/RID/RadLex.owl"	"SystematicNamingMetric"	NaN
"http://radlex.org/RID/RadLex.owl"	"NumberOfClassesMetric"	46761
"http://radlex.org/RID/RadLex.owl"	"NamesPerClassMetric"	1
"http://radlex.org/RID/RadLex.owl"	"NamesPerPropertyMetric"	0
"http://radlex.org/RID/RadLex.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://radlex.org/RID/RadLex.owl"	"NamesPerDataPropertyMetric"	NaN
"http://radlex.org/RID/RadLex.owl"	"NamesPerObjectPropertyMetric"	0
"http://radlex.org/RID/RadLex.owl"	"SynonymsPerClassMetric"	0
"http://radlex.org/RID/RadLex.owl"	"SynonymsPerPropertyMetric"	0
"http://radlex.org/RID/RadLex.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://radlex.org/RID/RadLex.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://radlex.org/RID/RadLex.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://radlex.org/RID/RadLex.owl"	"DescriptionsPerClassMetric"	0
"http://radlex.org/RID/RadLex.owl"	"DescriptionsPerPropertyMetric"	0
"http://radlex.org/RID/RadLex.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://radlex.org/RID/RadLex.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://radlex.org/RID/RadLex.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://radlex.org/RID/RadLex.owl"	"ClassesWithNoNameMetric"	0
"http://radlex.org/RID/RadLex.owl"	"ClassesWithNoDescriptionMetric"	1
"http://radlex.org/RID/RadLex.owl"	"ClassesWithNoSynonymMetric"	1
"http://radlex.org/RID/RadLex.owl"	"ObjectPropertiesWithNoNameMetric"	1
"http://radlex.org/RID/RadLex.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://radlex.org/RID/RadLex.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://radlex.org/RID/RadLex.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://radlex.org/RID/RadLex.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://radlex.org/RID/RadLex.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://radlex.org/RID/RadLex.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://radlex.org/RID/RadLex.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://radlex.org/RID/RadLex.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
