Ontology	Metric	Value
"urn:absolute:1.2.2"	"NumberOfLexicalRegularitiesMetric"	0
"urn:absolute:1.2.2"	"NumberOfLexicalRegularityClassesMetric"	0
"urn:absolute:1.2.2"	"LexicalRegularitiesPerClassMetric"	0
"urn:absolute:1.2.2"	"LexicalRegularityClassPercentageMetric"	0
"urn:absolute:1.2.2"	"LexicallySuggestLogicallyDefineMetric"	NaN
"urn:absolute:1.2.2"	"SystematicNamingMetric"	NaN
"urn:absolute:1.2.2"	"NumberOfClassesMetric"	416
"urn:absolute:1.2.2"	"NamesPerClassMetric"	0.171
"urn:absolute:1.2.2"	"NamesPerPropertyMetric"	0
"urn:absolute:1.2.2"	"DescriptionsPerAnnotationPropertyMetric"	0
"urn:absolute:1.2.2"	"NamesPerDataPropertyMetric"	NaN
"urn:absolute:1.2.2"	"NamesPerObjectPropertyMetric"	0
"urn:absolute:1.2.2"	"SynonymsPerClassMetric"	0
"urn:absolute:1.2.2"	"SynonymsPerPropertyMetric"	0
"urn:absolute:1.2.2"	"SynonymsPerAnnotationPropertyMetric"	0
"urn:absolute:1.2.2"	"SynonymsPerDataPropertyMetric"	NaN
"urn:absolute:1.2.2"	"SynonymsPerObjectPropertyMetric"	0
"urn:absolute:1.2.2"	"DescriptionsPerClassMetric"	0.275
"urn:absolute:1.2.2"	"DescriptionsPerPropertyMetric"	0
"urn:absolute:1.2.2"	"DescriptionsPerAnnotationPropertyMetric"	0
"urn:absolute:1.2.2"	"DescriptionsPerDataPropertyMetric"	NaN
"urn:absolute:1.2.2"	"DescriptionsPerObjectPropertyMetric"	0
"urn:absolute:1.2.2"	"ClassesWithNoNameMetric"	0.829
"urn:absolute:1.2.2"	"ClassesWithNoDescriptionMetric"	0.761
"urn:absolute:1.2.2"	"ClassesWithNoSynonymMetric"	1
"urn:absolute:1.2.2"	"ObjectPropertiesWithNoNameMetric"	1
"urn:absolute:1.2.2"	"ObjectPropertiesWithNoDescriptionMetric"	1
"urn:absolute:1.2.2"	"ObjectPropertiesWithNoSynonymMetric"	1
"urn:absolute:1.2.2"	"DataPropertiesWithNoNameMetric"	NaN
"urn:absolute:1.2.2"	"DataPropertiesWithNoDescriptionMetric"	NaN
"urn:absolute:1.2.2"	"DataPropertiesWithNoSynonymMetric"	NaN
"urn:absolute:1.2.2"	"AnnotationPropertiesWithNoNameMetric"	1
"urn:absolute:1.2.2"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"urn:absolute:1.2.2"	"AnnotationPropertiesWithNoSynonymMetric"	1
