Ontology	Metric	Value
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"SystematicNamingMetric"	NaN
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"NumberOfClassesMetric"	1545
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"NamesPerClassMetric"	0.999
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"NamesPerPropertyMetric"	0
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"NamesPerDataPropertyMetric"	0
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"NamesPerObjectPropertyMetric"	0
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"SynonymsPerClassMetric"	0
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"SynonymsPerPropertyMetric"	0
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"SynonymsPerDataPropertyMetric"	0
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"DescriptionsPerClassMetric"	0
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"DescriptionsPerPropertyMetric"	0
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"DescriptionsPerDataPropertyMetric"	0
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"ClassesWithNoNameMetric"	0.001
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"ClassesWithNoDescriptionMetric"	1
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"ClassesWithNoSynonymMetric"	1
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"ObjectPropertiesWithNoNameMetric"	1
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"DataPropertiesWithNoNameMetric"	1
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"DataPropertiesWithNoDescriptionMetric"	1
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
