Ontology	Metric	Value
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"NumberOfClassesMetric"	5284
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"NamesPerPropertyMetric"	0.522
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.5
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"SynonymsPerClassMetric"	1.617
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"DescriptionsPerClassMetric"	0.014
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"DescriptionsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"ClassesWithNoDescriptionMetric"	0.986
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"ClassesWithNoSynonymMetric"	0.173
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"AnnotationPropertiesWithNoNameMetric"	0.5
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/rs/6.221/rs.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
