Ontology	Metric	Value
"http://purl.dataone.org/odo/SENSO/0.1.0"	"NumberOfLexicalRegularitiesMetric"	1
"http://purl.dataone.org/odo/SENSO/0.1.0"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.dataone.org/odo/SENSO/0.1.0"	"LexicalRegularitiesPerClassMetric"	0.25
"http://purl.dataone.org/odo/SENSO/0.1.0"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.dataone.org/odo/SENSO/0.1.0"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.dataone.org/odo/SENSO/0.1.0"	"SystematicNamingMetric"	NaN
"http://purl.dataone.org/odo/SENSO/0.1.0"	"NumberOfClassesMetric"	4
"http://purl.dataone.org/odo/SENSO/0.1.0"	"NamesPerClassMetric"	1
"http://purl.dataone.org/odo/SENSO/0.1.0"	"NamesPerPropertyMetric"	0.158
"http://purl.dataone.org/odo/SENSO/0.1.0"	"DescriptionsPerAnnotationPropertyMetric"	0.111
"http://purl.dataone.org/odo/SENSO/0.1.0"	"NamesPerDataPropertyMetric"	NaN
"http://purl.dataone.org/odo/SENSO/0.1.0"	"NamesPerObjectPropertyMetric"	1
"http://purl.dataone.org/odo/SENSO/0.1.0"	"SynonymsPerClassMetric"	0
"http://purl.dataone.org/odo/SENSO/0.1.0"	"SynonymsPerPropertyMetric"	0
"http://purl.dataone.org/odo/SENSO/0.1.0"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.dataone.org/odo/SENSO/0.1.0"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.dataone.org/odo/SENSO/0.1.0"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.dataone.org/odo/SENSO/0.1.0"	"DescriptionsPerClassMetric"	1.75
"http://purl.dataone.org/odo/SENSO/0.1.0"	"DescriptionsPerPropertyMetric"	0.053
"http://purl.dataone.org/odo/SENSO/0.1.0"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.dataone.org/odo/SENSO/0.1.0"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.dataone.org/odo/SENSO/0.1.0"	"DescriptionsPerObjectPropertyMetric"	1
"http://purl.dataone.org/odo/SENSO/0.1.0"	"ClassesWithNoNameMetric"	0
"http://purl.dataone.org/odo/SENSO/0.1.0"	"ClassesWithNoDescriptionMetric"	0
"http://purl.dataone.org/odo/SENSO/0.1.0"	"ClassesWithNoSynonymMetric"	1
"http://purl.dataone.org/odo/SENSO/0.1.0"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.dataone.org/odo/SENSO/0.1.0"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://purl.dataone.org/odo/SENSO/0.1.0"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.dataone.org/odo/SENSO/0.1.0"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.dataone.org/odo/SENSO/0.1.0"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.dataone.org/odo/SENSO/0.1.0"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.dataone.org/odo/SENSO/0.1.0"	"AnnotationPropertiesWithNoNameMetric"	0.889
"http://purl.dataone.org/odo/SENSO/0.1.0"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.dataone.org/odo/SENSO/0.1.0"	"AnnotationPropertiesWithNoSynonymMetric"	1
