Ontology	Metric	Value
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"NumberOfLexicalRegularitiesMetric"	1
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"LexicalRegularitiesPerClassMetric"	0.009
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"NumberOfClassesMetric"	116
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"NamesPerClassMetric"	1.035
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"NamesPerPropertyMetric"	0.913
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.405
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"NamesPerDataPropertyMetric"	1
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"NamesPerObjectPropertyMetric"	1.082
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"SynonymsPerClassMetric"	0.174
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"SynonymsPerPropertyMetric"	0.296
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"SynonymsPerDataPropertyMetric"	0.241
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"SynonymsPerObjectPropertyMetric"	0.409
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"DescriptionsPerClassMetric"	1.07
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"DescriptionsPerPropertyMetric"	0.772
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.297
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"DescriptionsPerDataPropertyMetric"	0.69
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"DescriptionsPerObjectPropertyMetric"	0.952
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"ClassesWithNoNameMetric"	0.018
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"ClassesWithNoDescriptionMetric"	0.246
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"ClassesWithNoSynonymMetric"	0.877
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"ObjectPropertiesWithNoNameMetric"	0.01
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.205
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.7
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"DataPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"DataPropertiesWithNoDescriptionMetric"	0.5
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"DataPropertiesWithNoSynonymMetric"	0.844
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"AnnotationPropertiesWithNoNameMetric"	0.635
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.757
"http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
