Ontology	Metric	Value
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"NumberOfLexicalRegularitiesMetric"	0
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"NumberOfLexicalRegularityClassesMetric"	0
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"LexicalRegularitiesPerClassMetric"	0
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"LexicalRegularityClassPercentageMetric"	0
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"SystematicNamingMetric"	NaN
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"NumberOfClassesMetric"	41
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"NamesPerClassMetric"	0
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"NamesPerPropertyMetric"	0
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"NamesPerDataPropertyMetric"	0
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"NamesPerObjectPropertyMetric"	0
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"SynonymsPerClassMetric"	0
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"SynonymsPerPropertyMetric"	0
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"SynonymsPerDataPropertyMetric"	0
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"SynonymsPerObjectPropertyMetric"	0
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"DescriptionsPerClassMetric"	0.175
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"DescriptionsPerPropertyMetric"	0.824
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"DescriptionsPerDataPropertyMetric"	1
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"DescriptionsPerObjectPropertyMetric"	1
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"ClassesWithNoNameMetric"	1
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"ClassesWithNoDescriptionMetric"	0.825
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"ClassesWithNoSynonymMetric"	1
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"ObjectPropertiesWithNoNameMetric"	1
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"DataPropertiesWithNoNameMetric"	1
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"DataPropertiesWithNoDescriptionMetric"	0
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"DataPropertiesWithNoSynonymMetric"	1
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"AnnotationPropertiesWithNoNameMetric"	1
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement"	"AnnotationPropertiesWithNoSynonymMetric"	1
