Ontology	Metric	Value
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"SystematicNamingMetric"	NaN
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"NumberOfClassesMetric"	178
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"NamesPerClassMetric"	0
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"NamesPerPropertyMetric"	0
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"NamesPerDataPropertyMetric"	0
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"NamesPerObjectPropertyMetric"	0
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"SynonymsPerClassMetric"	0
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"SynonymsPerPropertyMetric"	0
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"SynonymsPerDataPropertyMetric"	0
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"DescriptionsPerClassMetric"	0.085
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"DescriptionsPerPropertyMetric"	0
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"DescriptionsPerDataPropertyMetric"	0
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"ClassesWithNoNameMetric"	1
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"ClassesWithNoDescriptionMetric"	0.915
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"ClassesWithNoSynonymMetric"	1
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"ObjectPropertiesWithNoNameMetric"	1
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"DataPropertiesWithNoNameMetric"	1
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"DataPropertiesWithNoDescriptionMetric"	1
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
