Ontology	Metric	Value
"http://anzsoil.org/def/au/asls/soil-profile"	"NumberOfLexicalRegularitiesMetric"	0
"http://anzsoil.org/def/au/asls/soil-profile"	"NumberOfLexicalRegularityClassesMetric"	0
"http://anzsoil.org/def/au/asls/soil-profile"	"LexicalRegularitiesPerClassMetric"	0
"http://anzsoil.org/def/au/asls/soil-profile"	"LexicalRegularityClassPercentageMetric"	0
"http://anzsoil.org/def/au/asls/soil-profile"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://anzsoil.org/def/au/asls/soil-profile"	"SystematicNamingMetric"	NaN
"http://anzsoil.org/def/au/asls/soil-profile"	"NumberOfClassesMetric"	4
"http://anzsoil.org/def/au/asls/soil-profile"	"NamesPerClassMetric"	0.25
"http://anzsoil.org/def/au/asls/soil-profile"	"NamesPerPropertyMetric"	0.065
"http://anzsoil.org/def/au/asls/soil-profile"	"DescriptionsPerAnnotationPropertyMetric"	0.065
"http://anzsoil.org/def/au/asls/soil-profile"	"NamesPerDataPropertyMetric"	NaN
"http://anzsoil.org/def/au/asls/soil-profile"	"NamesPerObjectPropertyMetric"	NaN
"http://anzsoil.org/def/au/asls/soil-profile"	"SynonymsPerClassMetric"	0
"http://anzsoil.org/def/au/asls/soil-profile"	"SynonymsPerPropertyMetric"	0
"http://anzsoil.org/def/au/asls/soil-profile"	"SynonymsPerAnnotationPropertyMetric"	0
"http://anzsoil.org/def/au/asls/soil-profile"	"SynonymsPerDataPropertyMetric"	NaN
"http://anzsoil.org/def/au/asls/soil-profile"	"SynonymsPerObjectPropertyMetric"	NaN
"http://anzsoil.org/def/au/asls/soil-profile"	"DescriptionsPerClassMetric"	0.5
"http://anzsoil.org/def/au/asls/soil-profile"	"DescriptionsPerPropertyMetric"	0.065
"http://anzsoil.org/def/au/asls/soil-profile"	"DescriptionsPerAnnotationPropertyMetric"	0.065
"http://anzsoil.org/def/au/asls/soil-profile"	"DescriptionsPerDataPropertyMetric"	NaN
"http://anzsoil.org/def/au/asls/soil-profile"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://anzsoil.org/def/au/asls/soil-profile"	"ClassesWithNoNameMetric"	0.75
"http://anzsoil.org/def/au/asls/soil-profile"	"ClassesWithNoDescriptionMetric"	0.75
"http://anzsoil.org/def/au/asls/soil-profile"	"ClassesWithNoSynonymMetric"	1
"http://anzsoil.org/def/au/asls/soil-profile"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://anzsoil.org/def/au/asls/soil-profile"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://anzsoil.org/def/au/asls/soil-profile"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://anzsoil.org/def/au/asls/soil-profile"	"DataPropertiesWithNoNameMetric"	NaN
"http://anzsoil.org/def/au/asls/soil-profile"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://anzsoil.org/def/au/asls/soil-profile"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://anzsoil.org/def/au/asls/soil-profile"	"AnnotationPropertiesWithNoNameMetric"	0.935
"http://anzsoil.org/def/au/asls/soil-profile"	"AnnotationPropertiesWithNoDescriptionMetric"	0.935
"http://anzsoil.org/def/au/asls/soil-profile"	"AnnotationPropertiesWithNoSynonymMetric"	1
