Ontology	Metric	Value
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"SystematicNamingMetric"	NaN
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"NumberOfClassesMetric"	239
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"NamesPerClassMetric"	0.992
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"NamesPerPropertyMetric"	0.286
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"NamesPerDataPropertyMetric"	NaN
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"NamesPerObjectPropertyMetric"	1
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"SynonymsPerClassMetric"	0
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"SynonymsPerPropertyMetric"	0
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"DescriptionsPerClassMetric"	0
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"DescriptionsPerPropertyMetric"	0.143
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"DescriptionsPerObjectPropertyMetric"	0.5
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"ClassesWithNoNameMetric"	0.004
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"ClassesWithNoDescriptionMetric"	1
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"ClassesWithNoSynonymMetric"	1
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.5
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://www.mskcc.org/ontologies/2013/03/sae.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
