Ontology	Metric	Value
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"NumberOfLexicalRegularitiesMetric"	0
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"NumberOfLexicalRegularityClassesMetric"	0
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"LexicalRegularitiesPerClassMetric"	0
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"LexicalRegularityClassPercentageMetric"	0
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"SystematicNamingMetric"	NaN
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"NumberOfClassesMetric"	13
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"NamesPerClassMetric"	0.846
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"NamesPerPropertyMetric"	0
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"NamesPerDataPropertyMetric"	0
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"NamesPerObjectPropertyMetric"	0
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"SynonymsPerClassMetric"	0
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"SynonymsPerPropertyMetric"	0
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"SynonymsPerAnnotationPropertyMetric"	0
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"SynonymsPerDataPropertyMetric"	0
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"SynonymsPerObjectPropertyMetric"	0
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"DescriptionsPerClassMetric"	0.846
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"DescriptionsPerPropertyMetric"	0.294
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"DescriptionsPerDataPropertyMetric"	0
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"DescriptionsPerObjectPropertyMetric"	0.909
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"ClassesWithNoNameMetric"	0.154
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"ClassesWithNoDescriptionMetric"	0.154
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"ClassesWithNoSynonymMetric"	1
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"ObjectPropertiesWithNoNameMetric"	1
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"ObjectPropertiesWithNoDescriptionMetric"	0.091
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"DataPropertiesWithNoNameMetric"	1
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"DataPropertiesWithNoDescriptionMetric"	1
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"DataPropertiesWithNoSynonymMetric"	1
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"AnnotationPropertiesWithNoNameMetric"	1
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://rdf.glycoinfo.org/SugarBind/ontology#"	"AnnotationPropertiesWithNoSynonymMetric"	1
