Ontology	Metric	Value
"http://sweetontology.net/sweetAll"	"NumberOfLexicalRegularitiesMetric"	0
"http://sweetontology.net/sweetAll"	"NumberOfLexicalRegularityClassesMetric"	0
"http://sweetontology.net/sweetAll"	"LexicalRegularitiesPerClassMetric"	NaN
"http://sweetontology.net/sweetAll"	"LexicalRegularityClassPercentageMetric"	NaN
"http://sweetontology.net/sweetAll"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://sweetontology.net/sweetAll"	"SystematicNamingMetric"	NaN
"http://sweetontology.net/sweetAll"	"NumberOfClassesMetric"	0
"http://sweetontology.net/sweetAll"	"NamesPerClassMetric"	NaN
"http://sweetontology.net/sweetAll"	"NamesPerPropertyMetric"	0
"http://sweetontology.net/sweetAll"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://sweetontology.net/sweetAll"	"NamesPerDataPropertyMetric"	NaN
"http://sweetontology.net/sweetAll"	"NamesPerObjectPropertyMetric"	NaN
"http://sweetontology.net/sweetAll"	"SynonymsPerClassMetric"	NaN
"http://sweetontology.net/sweetAll"	"SynonymsPerPropertyMetric"	0
"http://sweetontology.net/sweetAll"	"SynonymsPerAnnotationPropertyMetric"	0
"http://sweetontology.net/sweetAll"	"SynonymsPerDataPropertyMetric"	NaN
"http://sweetontology.net/sweetAll"	"SynonymsPerObjectPropertyMetric"	NaN
"http://sweetontology.net/sweetAll"	"DescriptionsPerClassMetric"	NaN
"http://sweetontology.net/sweetAll"	"DescriptionsPerPropertyMetric"	0
"http://sweetontology.net/sweetAll"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://sweetontology.net/sweetAll"	"DescriptionsPerDataPropertyMetric"	NaN
"http://sweetontology.net/sweetAll"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://sweetontology.net/sweetAll"	"ClassesWithNoNameMetric"	NaN
"http://sweetontology.net/sweetAll"	"ClassesWithNoDescriptionMetric"	NaN
"http://sweetontology.net/sweetAll"	"ClassesWithNoSynonymMetric"	NaN
"http://sweetontology.net/sweetAll"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://sweetontology.net/sweetAll"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://sweetontology.net/sweetAll"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://sweetontology.net/sweetAll"	"DataPropertiesWithNoNameMetric"	NaN
"http://sweetontology.net/sweetAll"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://sweetontology.net/sweetAll"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://sweetontology.net/sweetAll"	"AnnotationPropertiesWithNoNameMetric"	1
"http://sweetontology.net/sweetAll"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://sweetontology.net/sweetAll"	"AnnotationPropertiesWithNoSynonymMetric"	1
