Ontology	Metric	Value
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"NumberOfLexicalRegularitiesMetric"	2
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"NumberOfLexicalRegularityClassesMetric"	1
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"LexicalRegularitiesPerClassMetric"	0.004
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"LexicalRegularityClassPercentageMetric"	0.002
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"LexicallySuggestLogicallyDefineMetric"	0.156
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"SystematicNamingMetric"	1
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"NumberOfClassesMetric"	561
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"NamesPerClassMetric"	1.002
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"NamesPerPropertyMetric"	0.585
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.27
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"NamesPerDataPropertyMetric"	1
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"SynonymsPerClassMetric"	0.1
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"SynonymsPerPropertyMetric"	0.185
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"SynonymsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"SynonymsPerObjectPropertyMetric"	0.444
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"DescriptionsPerClassMetric"	0.93
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"DescriptionsPerPropertyMetric"	0.569
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.243
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"DescriptionsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"DescriptionsPerObjectPropertyMetric"	1.037
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"ClassesWithNoDescriptionMetric"	0.104
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"ClassesWithNoSynonymMetric"	0.934
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.185
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.704
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"DataPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"DataPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"AnnotationPropertiesWithNoNameMetric"	0.757
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.865
"http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
