Ontology	Metric	Value
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"NumberOfLexicalRegularitiesMetric"	61
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"NumberOfLexicalRegularityClassesMetric"	3
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"LexicalRegularitiesPerClassMetric"	1.271
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"LexicalRegularityClassPercentageMetric"	0.062
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"LexicallySuggestLogicallyDefineMetric"	1
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"SystematicNamingMetric"	0.853
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"NumberOfClassesMetric"	48
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"NamesPerClassMetric"	1
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"NamesPerPropertyMetric"	0
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"NamesPerDataPropertyMetric"	NaN
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"NamesPerObjectPropertyMetric"	NaN
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"SynonymsPerClassMetric"	0
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"SynonymsPerPropertyMetric"	0
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"SynonymsPerDataPropertyMetric"	NaN
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"SynonymsPerObjectPropertyMetric"	NaN
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"DescriptionsPerClassMetric"	0
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"DescriptionsPerPropertyMetric"	0
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"DescriptionsPerDataPropertyMetric"	NaN
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"ClassesWithNoNameMetric"	0
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"ClassesWithNoDescriptionMetric"	1
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"ClassesWithNoSynonymMetric"	1
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"DataPropertiesWithNoNameMetric"	NaN
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"AnnotationPropertiesWithNoNameMetric"	1
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST"	"AnnotationPropertiesWithNoSynonymMetric"	1
