Ontology	Metric	Value
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"NumberOfLexicalRegularitiesMetric"	0
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"NumberOfLexicalRegularityClassesMetric"	0
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"LexicalRegularitiesPerClassMetric"	0
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"LexicalRegularityClassPercentageMetric"	0
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"SystematicNamingMetric"	NaN
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"NumberOfClassesMetric"	225
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"NamesPerClassMetric"	0.911
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"NamesPerPropertyMetric"	0.286
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"NamesPerDataPropertyMetric"	0.333
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"NamesPerObjectPropertyMetric"	0.5
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"SynonymsPerClassMetric"	0
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"SynonymsPerPropertyMetric"	0
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"SynonymsPerDataPropertyMetric"	0
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"SynonymsPerObjectPropertyMetric"	0
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"DescriptionsPerClassMetric"	0.533
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"DescriptionsPerPropertyMetric"	0.029
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"DescriptionsPerDataPropertyMetric"	0.167
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"DescriptionsPerObjectPropertyMetric"	0
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"ClassesWithNoNameMetric"	0.093
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"ClassesWithNoDescriptionMetric"	0.471
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"ClassesWithNoSynonymMetric"	1
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"ObjectPropertiesWithNoNameMetric"	0.5
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"DataPropertiesWithNoNameMetric"	0.667
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"DataPropertiesWithNoDescriptionMetric"	0.833
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"DataPropertiesWithNoSynonymMetric"	1
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"AnnotationPropertiesWithNoNameMetric"	1
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://www.w3.org/2001/sw/hcls/ns/transmed/tmo"	"AnnotationPropertiesWithNoSynonymMetric"	1
