Ontology	Metric	Value
"http://purl.obolibrary.org/obo/tto.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.obolibrary.org/obo/tto.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/tto.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/tto.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/tto.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/tto.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/tto.owl"	"NumberOfClassesMetric"	38640
"http://purl.obolibrary.org/obo/tto.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/tto.owl"	"NamesPerPropertyMetric"	0.63
"http://purl.obolibrary.org/obo/tto.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.63
"http://purl.obolibrary.org/obo/tto.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/tto.owl"	"NamesPerObjectPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/tto.owl"	"SynonymsPerClassMetric"	1.55
"http://purl.obolibrary.org/obo/tto.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/tto.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/tto.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/tto.owl"	"SynonymsPerObjectPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/tto.owl"	"DescriptionsPerClassMetric"	0
"http://purl.obolibrary.org/obo/tto.owl"	"DescriptionsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/tto.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/tto.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/tto.owl"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/tto.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/tto.owl"	"ClassesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/tto.owl"	"ClassesWithNoSynonymMetric"	0.347
"http://purl.obolibrary.org/obo/tto.owl"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/tto.owl"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/tto.owl"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/tto.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/tto.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/tto.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/tto.owl"	"AnnotationPropertiesWithNoNameMetric"	0.37
"http://purl.obolibrary.org/obo/tto.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/tto.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
