Ontology	Metric	Value
"http://www.ifomis.org/vdot/vdot_core.owl"	"NumberOfLexicalRegularitiesMetric"	1
"http://www.ifomis.org/vdot/vdot_core.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://www.ifomis.org/vdot/vdot_core.owl"	"LexicalRegularitiesPerClassMetric"	0.006
"http://www.ifomis.org/vdot/vdot_core.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://www.ifomis.org/vdot/vdot_core.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://www.ifomis.org/vdot/vdot_core.owl"	"SystematicNamingMetric"	NaN
"http://www.ifomis.org/vdot/vdot_core.owl"	"NumberOfClassesMetric"	179
"http://www.ifomis.org/vdot/vdot_core.owl"	"NamesPerClassMetric"	1.352
"http://www.ifomis.org/vdot/vdot_core.owl"	"NamesPerPropertyMetric"	0.795
"http://www.ifomis.org/vdot/vdot_core.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.308
"http://www.ifomis.org/vdot/vdot_core.owl"	"NamesPerDataPropertyMetric"	1
"http://www.ifomis.org/vdot/vdot_core.owl"	"NamesPerObjectPropertyMetric"	1
"http://www.ifomis.org/vdot/vdot_core.owl"	"SynonymsPerClassMetric"	0.011
"http://www.ifomis.org/vdot/vdot_core.owl"	"SynonymsPerPropertyMetric"	0
"http://www.ifomis.org/vdot/vdot_core.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.ifomis.org/vdot/vdot_core.owl"	"SynonymsPerDataPropertyMetric"	0
"http://www.ifomis.org/vdot/vdot_core.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://www.ifomis.org/vdot/vdot_core.owl"	"DescriptionsPerClassMetric"	0.598
"http://www.ifomis.org/vdot/vdot_core.owl"	"DescriptionsPerPropertyMetric"	0.023
"http://www.ifomis.org/vdot/vdot_core.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.ifomis.org/vdot/vdot_core.owl"	"DescriptionsPerDataPropertyMetric"	0
"http://www.ifomis.org/vdot/vdot_core.owl"	"DescriptionsPerObjectPropertyMetric"	0.033
"http://www.ifomis.org/vdot/vdot_core.owl"	"ClassesWithNoNameMetric"	0
"http://www.ifomis.org/vdot/vdot_core.owl"	"ClassesWithNoDescriptionMetric"	0.441
"http://www.ifomis.org/vdot/vdot_core.owl"	"ClassesWithNoSynonymMetric"	0.989
"http://www.ifomis.org/vdot/vdot_core.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://www.ifomis.org/vdot/vdot_core.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.967
"http://www.ifomis.org/vdot/vdot_core.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.ifomis.org/vdot/vdot_core.owl"	"DataPropertiesWithNoNameMetric"	0
"http://www.ifomis.org/vdot/vdot_core.owl"	"DataPropertiesWithNoDescriptionMetric"	1
"http://www.ifomis.org/vdot/vdot_core.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://www.ifomis.org/vdot/vdot_core.owl"	"AnnotationPropertiesWithNoNameMetric"	0.692
"http://www.ifomis.org/vdot/vdot_core.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://www.ifomis.org/vdot/vdot_core.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
