Ontology	Metric	Value
"http://vivoweb.org/ontology/core"	"NumberOfLexicalRegularitiesMetric"	0
"http://vivoweb.org/ontology/core"	"NumberOfLexicalRegularityClassesMetric"	0
"http://vivoweb.org/ontology/core"	"LexicalRegularitiesPerClassMetric"	0
"http://vivoweb.org/ontology/core"	"LexicalRegularityClassPercentageMetric"	0
"http://vivoweb.org/ontology/core"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://vivoweb.org/ontology/core"	"SystematicNamingMetric"	NaN
"http://vivoweb.org/ontology/core"	"NumberOfClassesMetric"	414
"http://vivoweb.org/ontology/core"	"NamesPerClassMetric"	0.985
"http://vivoweb.org/ontology/core"	"NamesPerPropertyMetric"	0.938
"http://vivoweb.org/ontology/core"	"DescriptionsPerAnnotationPropertyMetric"	0.378
"http://vivoweb.org/ontology/core"	"NamesPerDataPropertyMetric"	0.977
"http://vivoweb.org/ontology/core"	"NamesPerObjectPropertyMetric"	1.005
"http://vivoweb.org/ontology/core"	"SynonymsPerClassMetric"	0.019
"http://vivoweb.org/ontology/core"	"SynonymsPerPropertyMetric"	0.004
"http://vivoweb.org/ontology/core"	"SynonymsPerAnnotationPropertyMetric"	0
"http://vivoweb.org/ontology/core"	"SynonymsPerDataPropertyMetric"	0
"http://vivoweb.org/ontology/core"	"SynonymsPerObjectPropertyMetric"	0.01
"http://vivoweb.org/ontology/core"	"DescriptionsPerClassMetric"	1.005
"http://vivoweb.org/ontology/core"	"DescriptionsPerPropertyMetric"	0.236
"http://vivoweb.org/ontology/core"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://vivoweb.org/ontology/core"	"DescriptionsPerDataPropertyMetric"	0.212
"http://vivoweb.org/ontology/core"	"DescriptionsPerObjectPropertyMetric"	0.306
"http://vivoweb.org/ontology/core"	"ClassesWithNoNameMetric"	0.017
"http://vivoweb.org/ontology/core"	"ClassesWithNoDescriptionMetric"	0.232
"http://vivoweb.org/ontology/core"	"ClassesWithNoSynonymMetric"	0.983
"http://vivoweb.org/ontology/core"	"ObjectPropertiesWithNoNameMetric"	0.01
"http://vivoweb.org/ontology/core"	"ObjectPropertiesWithNoDescriptionMetric"	0.706
"http://vivoweb.org/ontology/core"	"ObjectPropertiesWithNoSynonymMetric"	0.995
"http://vivoweb.org/ontology/core"	"DataPropertiesWithNoNameMetric"	0.023
"http://vivoweb.org/ontology/core"	"DataPropertiesWithNoDescriptionMetric"	0.788
"http://vivoweb.org/ontology/core"	"DataPropertiesWithNoSynonymMetric"	1
"http://vivoweb.org/ontology/core"	"AnnotationPropertiesWithNoNameMetric"	0.622
"http://vivoweb.org/ontology/core"	"AnnotationPropertiesWithNoDescriptionMetric"	0.973
"http://vivoweb.org/ontology/core"	"AnnotationPropertiesWithNoSynonymMetric"	1
