Ontology	Metric	Value
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"NumberOfLexicalRegularitiesMetric"	5
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"LexicalRegularitiesPerClassMetric"	0.001
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"NumberOfClassesMetric"	3791
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"NamesPerPropertyMetric"	0.4
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.348
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"SynonymsPerClassMetric"	0.897
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"DescriptionsPerClassMetric"	1.028
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"DescriptionsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"ClassesWithNoDescriptionMetric"	0.001
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"ClassesWithNoSynonymMetric"	0.579
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"AnnotationPropertiesWithNoNameMetric"	0.652
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/vt/releases/2024-04-23/vt.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
