Ontology	Metric	Value
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"NumberOfLexicalRegularitiesMetric"	1
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"NumberOfLexicalRegularityClassesMetric"	1
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"LexicallySuggestLogicallyDefineMetric"	1
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"SystematicNamingMetric"	0.999
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"NumberOfClassesMetric"	6764
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"NamesPerPropertyMetric"	0.79
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.21
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"NamesPerObjectPropertyMetric"	1.092
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"SynonymsPerClassMetric"	0.36
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"SynonymsPerPropertyMetric"	0.271
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"SynonymsPerObjectPropertyMetric"	0.412
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"DescriptionsPerClassMetric"	0.984
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"DescriptionsPerPropertyMetric"	0.691
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.129
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"DescriptionsPerObjectPropertyMetric"	0.983
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"ClassesWithNoDescriptionMetric"	0.042
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"ClassesWithNoSynonymMetric"	0.755
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.109
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.714
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"AnnotationPropertiesWithNoNameMetric"	0.79
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.871
"http://purl.obolibrary.org/obo/wbbt/releases/2024-04-01/wbbt.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
