Ontology	Metric	Value
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"NumberOfClassesMetric"	1727
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"NamesPerPropertyMetric"	0.571
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.514
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"SynonymsPerClassMetric"	0.791
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"DescriptionsPerClassMetric"	1.002
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"DescriptionsPerPropertyMetric"	0.143
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.108
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"DescriptionsPerObjectPropertyMetric"	0.4
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"ClassesWithNoDescriptionMetric"	0
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"ClassesWithNoSynonymMetric"	0.497
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.6
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"AnnotationPropertiesWithNoNameMetric"	0.486
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.892
"http://purl.obolibrary.org/obo/xao/releases/2022-08-29/xao.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
