Ontology	Metric	Value
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"NumberOfLexicalRegularitiesMetric"	22
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"NumberOfLexicalRegularityClassesMetric"	4
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"LexicalRegularitiesPerClassMetric"	0.001
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"LexicallySuggestLogicallyDefineMetric"	0.688
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"SystematicNamingMetric"	0.552
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"NumberOfClassesMetric"	28342
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"NamesPerPropertyMetric"	0.663
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.072
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"NamesPerDataPropertyMetric"	1
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"NamesPerObjectPropertyMetric"	1.162
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"SynonymsPerClassMetric"	1.019
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"SynonymsPerPropertyMetric"	0.161
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"SynonymsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"SynonymsPerObjectPropertyMetric"	0.299
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"DescriptionsPerClassMetric"	1.003
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"DescriptionsPerPropertyMetric"	0.5
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.038
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"DescriptionsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"DescriptionsPerObjectPropertyMetric"	0.892
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"ClassesWithNoDescriptionMetric"	0.012
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"ClassesWithNoSynonymMetric"	0.447
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"ObjectPropertiesWithNoNameMetric"	0.086
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.219
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.795
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"DataPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"DataPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"AnnotationPropertiesWithNoNameMetric"	0.953
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.966
"http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
